BPD,AC,FL,BPD_AC,BPD_FL,AC_FL,BPD_T,AC_T,FL_T
0.1483194088138085,0.005490098806166591,0.8408500816944213,5.09509433438598e-6,0.005153452400822073,0.00015903522340018653,0.15349961333749598,0.005668706540600955,0.8461765723353925
0.13261157642719434,0.007132169258776233,0.8545524140615793,1.2228121355449262e-5,0.005421840870725453,0.0002491745705919331,0.138065039263173,0.007406630164851802,0.8602360557018579
0.12240846595448482,0.009048202235580585,0.8625015778165486,1.9456174129216252e-5,0.005640537509464091,0.0003624710530159927,0.12808651644547456,0.009442408134646795,0.868516486893206
0.11047488873576075,0.01071240973253774,0.8724120525289122,2.550837601584478e-5,0.005857328604852964,0.0004999383487139782,0.11637434226916865,0.011249290537693114,0.8787804171083011
0.10490515667111833,0.012831659061124238,0.8755510667862869,3.1885159359578726e-5,0.0060097324065401,0.0006531122371536042,0.11096288013393114,0.013527881136833717,0.8822248600172289
0.10150883709433255,0.014986944926251609,0.8763585176866977,3.849885739706361e-5,0.006262731271835659,0.0008273331777678837,0.10782590821537687,0.015863963085041503,0.8834595401705032
0.09831251255747571,0.01741689142236885,0.8768450236230767,4.3830444557150205e-5,0.006352288827959734,0.0010124271465934444,0.10472433832532967,0.018484371807718877,0.8842208027098325
0.09296344408960942,0.01940513146295558,0.8799172461073824,4.681613619894307e-5,0.006436802211425295,0.0012139356979354499,0.0994623444474004,0.020676925340157273,0.887578922722922
0.08776543810554632,0.021468887079631228,0.882766243753938,4.8646869991948526e-5,0.006494579114947467,0.001439986124672086,0.09432351650954403,0.022968360054197993,0.8907116062261856
0.08598430667788305,0.02360026742601375,0.8820629389121579,5.020933630827106e-5,0.006632123620474488,0.0016540739196047496,0.09268133601206013,0.0253153411845207,0.890359932625198
0.08411771041025005,0.026134329796343437,0.8812067587133485,4.982971430835481e-5,0.006606918125403865,0.001868586761446119,0.09078891373523765,0.02806338013887209,0.8896929680532233
0.08197313539325941,0.028874688155955695,0.880429115028098,4.810445480692666e-5,0.006554823492443386,0.0021045954050572034,0.08859016027317451,0.031037754218622034,0.8890990394208758
0.07813132093719632,0.030583036691863904,0.8824076761092696,4.302678265140099e-5,0.006499285796631801,0.0023208139204554776,0.08468700142594042,0.03295666316112491,0.8912377452477193
0.07421787906344829,0.032174741596520076,0.8846022694873692,3.6486780535144455e-5,0.0064162377821414636,0.0025383716974659094,0.08068311160214278,0.0347586736053061,0.8935661768294901
0.07161320402662365,0.034117472976523254,0.8851927757013873,2.956189913422742e-5,0.006296133226910642,0.0027375862943694517,0.07795062250136654,0.036893007564014896,0.8942351477288768
0.06753546377749693,0.035391844676491466,0.8879292189975461,2.1514659418896085e-5,0.0061626874134513236,0.0029469863475771367,0.07373036863427557,0.03836786017267473,0.8970467038129863
0.06695254709181672,0.037493960335609,0.8863358826967205,1.4103936673500502e-5,0.006084545284523913,0.0031072875121008307,0.07306124791699885,0.04062224715361341,0.8955349331343909
0.06382646171166574,0.038984490018505694,0.8879943412232106,6.5768462258329186e-6,0.005895923393723895,0.0032813434037569254,0.06973815767256424,0.04227856202506261,0.8971781058774955
0.06056491622670906,0.040300517691000536,0.8899944911983033,3.6246882915777733e-7,0.005685717143688188,0.0034438199788932883,0.06625945455909243,0.04375023163639097,0.8991299230736112
0.057221877981644645,0.04123041336865439,0.8925076518374252,-3.6332709523983944e-6,0.005458505070134357,0.003575478903203806,0.06268468845824812,0.04480739034363076,0.9015471356888819
0.05476378023160556,0.04304161260195996,0.8932729596105294,-4.418909463522065e-6,0.005203855979859804,0.003712512980125251,0.05997109026376825,0.04675486165376031,0.9021948673351202
0.05030566790682183,0.04300852899581687,0.8978862066692189,-8.718778074949959e-7,0.004952728681705496,0.0038379082910776382,0.055265481520228636,0.04685096436631496,0.9066826129877564
0.047514549377389234,0.043587285486960885,0.9001841046533869,7.971921148376503e-6,0.004751603928385339,0.00394375446353435,0.05228292566474099,0.04754536190110877,0.9088861658906203
0.04472029505358998,0.04480025252336771,0.9019567002959171,2.3231802212679482e-5,0.004455839337089223,0.004031349462254122,0.04920970746084126,0.04886282799947812,0.9104522306215668
0.04048098235241942,0.04540867879953625,0.905811712985252,4.479980313361239e-5,0.004096637351701024,0.00414274494380945,0.04463481834884912,0.04960642692161049,0.9140616397292736
0.03816467906960967,0.04646544457962405,0.9072102412769767,7.68789919956931e-5,0.003848831340662953,0.004216129153290858,0.042106077722992644,0.05077203838342389,0.9152891075788157
0.03456564608981864,0.04695739182698362,0.9104786168518593,0.00011640572825869205,0.003540492914336879,0.004319539751407661,0.038242290148582395,0.05141111517829423,0.9183567268325618
0.031047715626487997,0.04768948504013799,0.9133931160844773,0.00016455812794660598,0.003229689361826633,0.0044484157316422804,0.03446677007008477,0.052325430809339414,0.9210944759080159
0.027627684011595086,0.04833065963107684,0.9162964363699727,0.00022223024867210655,0.0029183808110447586,0.004571339532783579,0.030799302808563824,0.05315353219901549,0.9238157220737677
0.02476558484836971,0.05027563813188785,0.9172801584462892,0.00029449103125303203,0.0026079268533989028,0.004735444970746311,0.02770644290051819,0.05534242084498393,0.9246606385161045
0.02198258248266771,0.0522238677306367,0.9181576349444601,0.00037885179945043845,0.0023079741069027613,0.004899665922478496,0.024716465298241626,0.057547958941220334,0.9254111071881974
