AC,AC_FL,AC_T,FL,FL_T
0.6247683797959812,0.00099789319548418,0.6257581605562362,0.37441572600035594,0.37521479870349667
0.6631850165244902,0.0009797400921299877,0.6641563122678154,0.3360020985283701,0.3367980451655189
0.616592633057207,0.001205948195276716,0.6177909113368307,0.38236244281092374,0.3833922987030895
0.5799952681415504,0.0014056259218874175,0.5813937360972652,0.4187537179544777,0.41999117172238004
0.6852712541545971,0.001112208767188975,0.6863752353130472,0.31375563961112113,0.3147132471107859
0.6619624235776742,0.00131026522665544,0.6632648200592297,0.33685842425521806,0.3380234477663664
0.6890392112556941,0.00120684963700017,0.6902380644499987,0.3098784004687287,0.31094632721558474
0.725044947567418,0.001107027483673083,0.7261438125904338,0.2739617179723769,0.27494037468534305
0.330658619969249,0.0030375823562766103,0.33369070753363883,0.6664166745846112,0.6693377512805018
0.36679038322569746,0.002884311540404834,0.36966892534728635,0.6304355849780303,0.6332050507535532
0.7516578231706162,0.0009334116307911317,0.7525834395791007,0.24750882992934276,0.24832763537781158
0.7851645020990342,0.0007926581087792078,0.7859494184489282,0.21413290951567224,0.21482077904828203
0.7633645357208059,0.0007777120709479997,0.7641349629822856,0.23594982196528333,0.23662102428697404
0.8251931914050807,0.0005218125639465027,0.8257076287839327,0.17436504472831196,0.17479150429105547
0.8061207502998258,0.00047810209398507455,0.8065920068207371,0.19348391616439975,0.19386403428076146
0.8289444713671205,0.0003574844023031556,0.8292953653479403,0.17077463954417932,0.1710400658758951
0.8140940131351949,0.00028176917459322293,0.8143698217094184,0.18570325241614574,0.185890398421272
0.8348012805179299,0.000183355514765173,0.8349790199540081,0.16508908750419207,0.16518283779547943
0.8503365142679932,0.00010201199778465086,0.8504332913189329,0.14963206670246976,0.14964717974187908
0.8678207981708964,4.7166793310740384e-5,0.8678631627585456,0.13219785780734267,0.13216261116369216
0.8800633761365643,1.9004247651211363e-5,0.8800779987037225,0.11998080144573486,0.11991963352262913
0.8761074891586786,1.9544926272004693e-5,0.8761227914163877,0.1239438306544547,0.12387423029025241
0.9019628221810306,3.340278079924255e-5,0.9019926112275746,0.09806093473819315,0.09801965898233522
0.908874765073495,7.159082730941248e-5,0.9089431446975965,0.09110925894272708,0.09110736332938585
0.9165529841261048,0.00011943555399227608,0.9166695076670752,0.08338117805249533,0.08342887689593777
0.9242235999638563,0.00017374034646783576,0.9243947698609566,0.0756533455728582,0.0757581611753929
