AC,AC_FL,AC_T,BPD,BPD_AC,BPD_FL,BPD_T,FL,FL_T
0.5379709461227855,-0.00029713647539970255,0.5386788629041722,0.4413175440056189,0.0005755914507664886,-0.00020631942113383072,0.4420727889710456,0.02014036898544231,0.02017407140060573
0.5777830996431091,-0.00030014498104293305,0.5784924841418996,0.40301731523242257,0.0005959017811913602,-0.00019398665019635625,0.4037783660388213,0.01861962944875954,0.018652727624028285
0.6088622309099381,-0.00027753380908802694,0.6095775271638448,0.3658980567272548,0.0005974891747208349,-0.00016347862411504453,0.36666532534026564,0.024639671677696436,0.024699670981562765
0.5699459584135446,-0.00022127591568981314,0.5708429146891776,0.4017902175791457,0.0007521810779469266,-0.00012828120740774663,0.40273444723577473,0.02744869028736526,0.02755338491934841
0.5411266226627733,-0.00022270601165573823,0.5421392724627305,0.440735831487691,0.000887126400660597,-0.00014298764326875013,0.4417927402734055,0.017206121297200717,0.017280903942444626
0.5831640110499217,-0.00020351410997287983,0.5841749455656664,0.3945794652795599,0.0008824134729581137,-0.00011340165228188281,0.395635959088437,0.021309937887713973,0.021414273433879152
0.5534176029030647,-0.00018957358144451128,0.5545141335617525,0.42698191151333525,0.0009676956939104962,-0.00010749680195875838,0.42812538897579544,0.018557373390759063,0.018663401850863147
0.5928267908614523,-0.00019513545851326483,0.5938656253592628,0.3889447828996002,0.0009246467004215103,-0.00010553650774607102,0.3900294555966289,0.01724472000673557,0.01734284457048337
0.5238565266607332,0.00015739134356835432,0.5251898479918647,0.3821066060483113,0.000904544654244174,0.00029703981358653167,0.3835545092046517,0.0924151150088724,0.09316058463885352
0.5580838755065826,0.00014719903209065187,0.5593343146717721,0.35312189154787316,0.0008363716044532995,0.00025327082751599355,0.35444633713439944,0.08729943504523249,0.08799249675272706
0.5724544064331416,-0.00016840377440589569,0.5734436602893505,0.40962411662257053,0.0008708639225022729,-7.976375773052958e-5,0.41066649406605754,0.01696228375109483,0.01708167774067768
0.6132103448876198,-0.00017555646800046626,0.6140914018212453,0.37021500741924,0.0007776310971547541,-8.06691816165885e-5,0.3711472742638238,0.015728080311438828,0.015836103455787072
0.587380340428196,-0.0001573795015147765,0.5882093832551336,0.3935431968985283,0.000710954752904751,-6.042506705317906e-5,0.39443218656683005,0.018262582181846503,0.0183983010046401
0.616321456497739,-0.00018446186951553615,0.6169943997628061,0.3691282037844536,0.0005818657885258502,-8.485251117968688e-5,0.3698571824990878,0.013914403769139468,0.014007283832278835
0.6310136554999203,-0.0001817243865632912,0.6315409696154018,0.35122483693324213,0.0004312259356143112,-7.291383571141737e-5,0.3518139080877326,0.01726448118298832,0.017372908509715207
0.6163232373392944,-0.00018298264709810095,0.6167542641307552,0.36740131607253196,0.0003387667719348236,-7.385204219865516e-5,0.3678984879361187,0.01587268742926991,0.015975122067168467
0.5986675461903359,-0.00017256289568650933,0.599006325717688,0.382792388737136,0.00023725959321491366,-5.731561157049289e-5,0.3832079179652936,0.018214043095488495,0.018336967418618153
0.6550678669335454,-0.0001951082714429963,0.6552533392310983,0.3261936478448665,0.00010293246867480288,-6.853096114768062e-5,0.3264536174717452,0.01858268578848854,0.018683351644016247
0.6384483039716227,-0.00019937332006050385,0.6385466955213586,0.3439745967545823,1.8434175642910684e-5,-7.156590660801908e-5,0.3441527242020874,0.017507955267785615,0.01760230274015306
0.6293437984676251,-0.00020245132974851515,0.6293635990177713,0.35437133854045577,-5.614226217268141e-5,-7.370305628810937e-5,0.3544744926280551,0.016293940496926042,0.016381850217685977
0.6459061730752942,-0.00021578893404785717,0.6458585050704992,0.3380550139523726,-0.00011429172401712367,-8.019501148524815e-5,0.3380931462642802,0.016122693639423178,0.016198352152608442
0.6260070131517432,-0.00023968454704714515,0.6259085263573639,0.35635023813428707,-0.00016704360548130324,-9.727812834741965e-5,0.3563447061936261,0.017790935836940115,0.0178543157150576
0.6485897603834846,-0.0002288972883017729,0.6484946530088229,0.33645141573018483,-0.00015273999332378937,-8.764242716890851e-5,0.33644697773918836,0.01509565211248259,0.015157518780930456
0.6652846112852078,-0.00023742598694190652,0.6651959275683121,0.320047483056929,-0.0001384364824951661,-9.063764292022271e-5,0.320050968905254,0.014802563108370373,0.014856448026117379
0.6780684361234978,-0.00024737874837329934,0.6780022149044779,0.3073424524274659,-0.00010925896444870878,-9.475501868856014e-5,0.30737049837023267,0.014706226841431747,0.014752298320907962
0.6932933131378058,-0.00025446217419563383,0.6932637903063135,0.292390704222587,-6.522674164889887e-5,-9.643910172662035e-5,0.29245713137124163,0.014399394132489193,0.01443901903985986
