AC,HC,AC_HC,AC_T,HC_T
0.7244362734532523,0.27385027228102693,0.0016901597476008398,0.726158548151051,0.2755952070320361
0.7449354578165317,0.2534532179163777,0.001587737611417673,0.746555065174028,0.25509578859272414
0.7638752919368205,0.2346381384323216,0.0014626847806571896,0.7653696666005617,0.23615578817289945
0.7826998413408528,0.2159637011125593,0.0013121991977230153,0.7840436581082648,0.2173311831089331
0.7991201544190452,0.19970796635782836,0.0011472119545075578,0.800299026648857,0.20091093123421755
0.8145190280200865,0.18447238794920642,0.0009835669061398428,0.8155342439438419,0.18551206499766015
0.829317245790484,0.16984948759005158,0.000807782625152114,0.8301568257365944,0.1707140164536857
0.8426998112330115,0.1566359326603357,0.0006383180099264166,0.8433700880404573,0.15733163351151017
0.8579351999970761,0.14156675382805628,0.00047162586563948103,0.8584389102319805,0.14209639244508712
0.8705048597194622,0.1291499251080705,0.0003182505361745628,0.8708554610663356,0.1295270213289493
0.8841433387640711,0.115650370512117,0.00017865551989351255,0.8843547103617754,0.11588893051407426
0.8971774044678282,0.102727496012136,6.689807137301966e-5,0.8972772507749237,0.10285511867155263
0.9087914071159143,0.09119432397000467,-1.4621230304108327e-5,0.9088101328931127,0.09124153598457885
0.9210655205431328,0.07896336333209508,-5.850754883382707e-5,0.9210407556308103,0.07896783837788857
0.9325626077193773,0.06746316159309727,-5.620234827749219e-5,0.9325406208300834,0.06747124249973395
0.9438851504466442,0.056082878062719575,7.198629277451167e-7,0.943920529045338,0.05614915936690479
0.9539701237654921,0.04587793616254891,0.00011981897216126463,0.9541251011065205,0.04606469936956014
0.9637890678730349,0.03586976636546679,0.00030818022670379427,0.9641328506010216,0.03624620955563906
0.9725669686053777,0.02682157234054826,0.000577603137916634,0.9731806014324783,0.02746874250682003
0.9803338789955488,0.018703663714539197,0.0009276718262529878,0.981298038584787,0.019702292039439247
0.9868704615375183,0.011726996519267754,0.001366946774589656,0.988274191505378,0.013166001741625905
0.991818717099255,0.006245328524307624,0.001899466167925385,0.9937553295188734,0.008218100644177467
0.995026796030345,0.002402443034712293,0.0025335068393810486,0.9975976599047653,0.005010218203835461
0.9963693780432092,0.0003273893519799468,0.0032652213222982224,0.9996721381396405,0.0036677974281106706
0.9957041156288811,0.00018592437303184924,0.0040713504908486174,0.9998130099705953,0.004333038466851504
0.9929483706897483,0.0020651148550919073,0.004947383872860044,0.9979332273225904,0.007088680328877051
0.9880409824287737,0.006001826290382756,0.005917736819012063,0.9939959263355034,0.011995765073706047
0.9811923931514271,0.011858104415630118,0.006909901850722719,0.9881390839591068,0.01884389452830819
0.9723361319182069,0.01965014000396898,0.00797408310133773,0.9803465003449753,0.02769960531432065
0.9621475968551084,0.028795605074767815,0.009017357801347296,0.9712005456883418,0.03788739805773545
0.9506131237067715,0.03925557100740752,0.01009219670863391,0.9607401315922515,0.049421040501996666
