AC,FL,HC,AC_FL,AC_HC,FL_HC,AC_T,FL_T,HC_T
0.0868112297785538,0.09375708438476345,0.814570486502817,0.004855905515354593,-1.0331888170009559e-5,-3.0857745816960427e-6,0.09167191324679047,0.09862188429977656,0.814571077155448
0.13698795341854195,0.10041740032118833,0.7584661025868353,0.004121238515385175,-1.5170738272385475e-5,-4.155582766841199e-6,0.141116511420312,0.10455193160891026,0.7584667097553324
0.18133778385484992,0.10374516801925066,0.7113685888717707,0.0035392051477212707,-1.9759522822737494e-5,-5.059101901460842e-6,0.18488670371707455,0.10730187310165724,0.7113692177574823
0.22015462543067482,0.1099652592482935,0.6666358112466366,0.0032332512026588935,-2.409840072312824e-5,-5.960811060939438e-6,0.22339982007072892,0.113219947744612,0.6666364651412409
0.2531161994480601,0.11080374550768611,0.6332077943560991,0.0028594720968036632,-2.8117003038214264e-5,-6.658465237274697e-6,0.2559896917558429,0.1136883660354088,0.6332084714203943
0.28136661054894196,0.11093679753385266,0.6050974638502871,0.002584774346291355,-3.170139884599598e-5,-7.23161976680568e-6,0.283967249797277,0.11355004957918235,0.6050981602606663
0.307458803766485,0.10944443622339907,0.5807597970461071,0.0023210472865716415,-3.5203201082032415e-5,-7.718529902573218e-6,0.30979751754062573,0.11179724671729942,0.5807605120292143
0.3294269054345392,0.11022856611053038,0.558170821425863,0.0021564610878804153,-3.8262771000639594e-5,-8.200293004570462e-6,0.3316025953810684,0.11241962903177603,0.5581715516225656
0.35235238591455126,0.11110303644899695,0.534476154388641,0.0020498693640818703,-4.125396544161677e-5,-8.63999071878669e-6,0.354423005096374,0.11319029642561906,0.5344768946663069
0.3710506534780551,0.10988414166738858,0.517140233882908,0.0019052154454952028,-4.391610213695678e-5,-8.95993017974703e-6,0.3729779787325627,0.11182926439871693,0.5171409843117023
0.3918609141166895,0.10734505656536757,0.4990120482790367,0.0017608977832353418,-4.677968270098545e-5,-9.224308638745178e-6,0.3936453841138545,0.10914860727290218,0.4990128069856905
0.411313996704925,0.10416303470145331,0.48285750954958984,0.0016432196001181262,-4.919415466707699e-5,-9.362396386570688e-6,0.4129820218323452,0.1058512638155989,0.4828582701909031
0.42620502877360866,0.10354006012409504,0.46866635428731424,0.001565373626339244,-5.1273246550438237e-5,-9.584946546639268e-6,0.4277962635862178,0.10515241913120127,0.46866711877610545
0.44229467907803627,0.10331304352696982,0.45285795631422454,0.0015102059945370518,-5.333370718778817e-5,-9.8029366977312e-6,0.44383178930645395,0.10487219368575312,0.4528587211704737
0.4580583982668206,0.1015012993590545,0.4389822395536883,0.0014329992980573602,-5.534060684245888e-5,-9.931805559095217e-6,0.45951932146869257,0.10298519187404476,0.43898300394577544
0.4732595217813346,0.10157146840477876,0.4237466865318152,0.0013964564680827647,-5.711826304609196e-5,-1.0110235161749746e-5,0.4746847995818138,0.1030205116762776,0.4237474469331378
0.48741105917488,0.09797708653899423,0.41327569022772975,0.0013094491322603633,-5.878527793424615e-5,-1.0089249358451896e-5,0.48875018042522744,0.0993408044228124,0.41327644752973886
0.5025054197706942,0.0964601524476898,0.39974353498262116,0.0012634194159948681,-6.0358220043348675e-5,-1.0142081841005058e-5,0.5037993077019489,0.09777939072485957,0.39974428504197257
0.5159282622405152,0.09501961198112131,0.387801601098533,0.0012224158780409255,-6.165915996399455e-5,-1.016435762869493e-5,0.517181805362866,0.09629913900349991,0.38780234287603665
0.5299750310871645,0.09404906333912029,0.3747606386556115,0.0011865138803689166,-6.300593543984106e-5,-1.0211669984928404e-5,0.5311933524240325,0.09529401357204612,0.3747613710091187
0.5456879485570936,0.09121975094523542,0.3619237888429534,0.0011390951588270291,-6.426868526458911e-5,-1.012655911721371e-5,0.5468594919556465,0.0924185891234446,0.3619245082490956
0.5579264184483548,0.09218871528964126,0.34871991622824583,0.0011351034200644363,-6.52584160411817e-5,-1.0236565286873243e-5,0.5590944649909301,0.09338449717199812,0.34872062368749135
0.5703464542889078,0.09134404055947319,0.337164377448813,0.001114877786050994,-6.607018961165575e-5,-1.0216377677673527e-5,0.5714946841203749,0.09252041867278989,0.3371650711139915
0.5829933795015202,0.08918904542455891,0.32671113016874936,0.0010757399482073623,-6.691489634676479e-5,-1.0125438435253972e-5,0.5841028998901902,0.09032717544932001,0.3267118104929814
0.5964677842110261,0.08871906227781529,0.313717992391791,0.0010640972867451992,-6.764891738622471e-5,-1.0107350489784651e-5,0.5975660297383305,0.08984629175304475,0.31371865577309666
0.6102852295466278,0.08691135844466422,0.3017379927465729,0.0010339498605114784,-6.84020177103065e-5,-1.001373137738219e-5,0.611353707849055,0.08800923889482776,0.30173863935602663
0.6230525750852085,0.08645770935051424,0.28943176479728566,0.0010262554226755742,-6.884271824898206e-5,-9.96125259477729e-6,0.6241135785472764,0.08754836021539882,0.28943239233196033
0.6365156593279363,0.08626632758490638,0.2761628084699908,0.0010233000165722737,-6.926446354414372e-5,-9.918580251663737e-6,0.6375739162000517,0.08735446351635852,0.27616341545296846
0.648206744547396,0.08627607008608708,0.2644644055774838,0.0010207434329833906,-6.953188385208643e-5,-9.879346931513736e-6,0.649262576031008,0.08736193365890318,0.26446499335184126
0.6625704150880946,0.08477837142753099,0.2516150834118667,0.0010038896156261373,-6.986062864703682e-5,-9.746921461000083e-6,0.663609556708296,0.08584777226411598,0.2516156490308212
0.6754098993794805,0.08348193106421298,0.24008779269109753,0.0009880072410670083,-7.004036416925457e-5,-9.617498210190469e-6,0.6764332475320266,0.08453568987126223,0.2400883372299011
