AC,AC_FL,AC_HC,AC_T,FL,FL_HC,FL_T,HC,HC_T
0.3592874149414398,-0.00030009620871603276,-0.0002581735741356804,0.35942263489629006,0.28440643954525413,-0.00031693438772675787,0.284490577008279,0.3568159639178355,0.3566319420517861
0.3676167184249376,-0.00026871201258567507,-0.00016978284522924762,0.3678300636338594,0.24453721384517618,-0.0002318178093937127,0.24467497485905385,0.3882113064548625,0.3881215252049462
0.34169624328729453,-0.0001507049851321019,-6.966502557171164e-5,0.34203616193068775,0.27885352899897714,-0.00013586823013162432,0.27913201393558945,0.3795396084706301,0.3796262843258102
0.3208189681562842,-4.067123689889693e-5,1.9174953779381978e-5,0.32128664980438865,0.30724242044609695,-2.803255291005772e-5,0.3076787135432595,0.3717523060107008,0.3720159482346388
0.3680908494380535,-0.00010978005248742619,8.393683184876055e-5,0.368589468665215,0.22565517880053437,-4.003512803693935e-5,0.2260079296293362,0.40609594417851297,0.4063644907556569
0.36126461560458206,9.076129254303637e-6,0.0001905304065877037,0.36193261204015215,0.24911240859242567,6.099594075877321e-5,0.24963757945261117,0.389150866905443,0.38962299213511076
0.3660868407540816,2.6695115721662668e-5,0.0002959636297360045,0.3668576833096755,0.22442331774326735,0.00010988236302845857,0.2249862287827956,0.4088721181816946,0.40946514741993206
0.3935405661309258,5.3916407090622276e-5,0.00039182532586402597,0.39443028399223984,0.2046807600046989,0.00012747755041042693,0.20527377000878833,0.4010152773365521,0.40171592685280516
0.19351480938224133,0.001009207150871521,0.0002516488474133518,0.19498067697290228,0.5998314818133204,0.0009455609695034907,0.6020507802241964,0.20428188831407673,0.20571733599902037
0.21122015799113633,0.0011120937770081644,0.0003435331859515291,0.21288410882081898,0.566589288602602,0.0010537937607389687,0.5690131439008631,0.2195228716763253,0.22114300018759966
0.39072755408038884,0.00020564535960999715,0.0007592893729898947,0.39206565299632945,0.1892822348053917,0.00030908654737776174,0.19013633955860731,0.41857290247988616,0.4197766128260901
0.4219531478119505,0.00024400228053609687,0.0009070577293599251,0.4234743699376836,0.1724173180436726,0.0003103277749186978,0.17330041858954592,0.40401644578544627,0.4053692955252744
0.40487456951871104,0.00036958438473394653,0.0010099567612754812,0.4065952403860254,0.19327090215728449,0.0004324686460690964,0.19438082443348884,0.39990244239177325,0.4014773690889567
0.43104263005939725,0.000271911637086879,0.0012353483879614057,0.4328936361393996,0.145044426118497,0.0003611730268664229,0.1459745779512057,0.4219171822536609,0.42362096121976717
0.4239358285834403,0.000407907772436021,0.0012979116056260364,0.4259672968497121,0.1678697479695617,0.0004660344529546485,0.16902971144082848,0.4058939747141338,0.40777329867378
0.43223322855054835,0.00042691696388787767,0.0014932154127517752,0.43446872338604137,0.15420592737639807,0.00048689246232930657,0.15539279232220468,0.41103339972463604,0.4131185435678501
0.4253094556170561,0.0005753575655868959,0.0015570026619056779,0.42774161833653873,0.17523691392126606,0.0006017592026837685,0.17667729312482638,0.39659857143154303,0.3988685326516168
0.4330432270544731,0.0005951935943243888,0.0017654557425225371,0.4356950177559712,0.16210353127803168,0.0006226796615758113,0.16357369402866126,0.40175628970036015,0.4042465187969327
0.4403404825979677,0.0006111479503319367,0.0018908889059136374,0.44312967743017134,0.15500661604829888,0.0006282222393464643,0.15649287262004213,0.4014109786561924,0.40402890648371775
0.44681338046103436,0.0006284253241130578,0.0021151555784093092,0.4498358552830243,0.14391986478488297,0.0006458510969021868,0.14543124957616738,0.40577222487610454,0.4086244166769928
0.4608784761090645,0.0006536932092362258,0.0021871570690952793,0.46399885936187907,0.14021458047463067,0.0006299020733705089,0.14173438254064127,0.395325765711424,0.39823725952789074
0.4249260185081435,0.0005921493815308352,0.0020984947057351394,0.42788995534487306,0.14515287244298447,0.0006827075573382146,0.14666142445864025,0.4264556443070923,0.4293183958497034
0.4728035788008047,0.0006806885780042166,0.0024613629513277886,0.47621727877160475,0.12892688045329437,0.0006379446833290906,0.1304722676782038,0.39438309978086283,0.39757145028930946
0.4858311865584712,0.0007043483900644146,0.0025340215211970014,0.48934141849839485,0.12569612249667486,0.0006226112216296986,0.1272488511703621,0.38450071280935294,0.3877492323201997
0.49222471413794194,0.0007160057099312661,0.0025697252317393618,0.49578234341155053,0.12411056586594463,0.0006150845453617061,0.12566689753525137,0.37965074279763783,0.38292878911741746
0.504770789113349,0.0007389685480562825,0.0026398733448017675,0.5084214696376667,0.12099920401278857,0.000600312041301645,0.12256260598976486,0.3701335759760097,0.3734695588641303
