AC,AC_T,BDP,BDP_AC,BDP_T
0.5006613810352485,0.501515753085156,0.49846921781113,0.0010800122511283134,0.4995427317894651
0.5418273514465314,0.5426894340722987,0.45729639084903584,0.001090333384335176,0.4583808572469603
0.5789492257997944,0.5798028152552638,0.42018378137064766,0.0010835380485786025,0.42126202285051195
0.5402982562154488,0.5413659048738596,0.4586212428484662,0.0012712224927967585,0.4598867656728272
0.5045007802445148,0.5057346964552584,0.49425282418365557,0.00141700411810821,0.49566372767863853
0.5512283709951438,0.552449295679521,0.44753906622733564,0.0014068655204156509,0.4489404822877559
0.5192798282623209,0.5206127285572223,0.47937578734445435,0.0015037243476161012,0.48087369837810756
0.5605869772041121,0.5618566245443296,0.4381324913371841,0.0014438813334228184,0.439571161134062
0.5309500785319736,0.5322743325808409,0.46771475718218725,0.0014868450008735559,0.46919609064724827
0.5672246032630575,0.568443160390446,0.4315463262142944,0.0013848423332638855,0.43292622787924173
0.5409473845867859,0.5421493250619203,0.4578399634716339,0.0013595911772962817,0.45919443167435986
0.5841223407589773,0.5851967552682845,0.4147930193352453,0.0012356374432604402,0.4160242086087408
0.5593534727263282,0.5603496673011611,0.4396397209189318,0.0011510677734809368,0.44078626604976845
0.5878825698199923,0.5887018353477884,0.41128757034873176,0.000978598872117501,0.4122622139551642
0.60675220177501,0.6073742143892057,0.3926148935812013,0.0007868370989289515,0.3933982620419742
0.5906555990161058,0.591158511844283,0.40883016531378163,0.0006627436874493502,0.4094895985276875
0.575333611383988,0.5757135423993283,0.4242746338908919,0.0005361987952249462,0.42480772120740995
0.6362485800608594,0.6364306378228374,0.36355753511067834,0.0003524431279608343,0.36390771872080285
0.6190961481246362,0.6191737804139433,0.3808137179075971,0.00024495911974879193,0.38105665803773636
0.6099660846283136,0.6099487585507422,0.39003817484048814,0.00014698516679216637,0.39018353037957404
0.6290335509135051,0.6289315618363955,0.3710549102433454,6.818892176459704e-5,0.3711219696876055
0.6113753207448982,0.6112109824202171,0.38877391068756245,1.7647754839388595e-5,0.38879055102067156
0.6338316878246384,0.6336718993131255,0.36631345587038033,1.3000413545658957e-5,0.36632616044613636
0.6536753086941148,0.6535220698313742,0.3464630700603207,2.34333113747983e-5,0.3464865873670505
0.6684410737909827,0.6683149465747226,0.33166979364621674,5.556070420363956e-5,0.3317257618285328
0.6854669306158312,0.6853859161333858,0.3145985933872201,0.00010402665389770307,0.3147033522090257
