BPD,AC,BPD_AC,BPD_T,AC_T
0.5662521998860607,0.43296694318699447,0.0007457952994188941,0.5670568000424876,0.4338061300813568
0.5446465385127682,0.4544797515129461,0.0008417664548021932,0.5455435136931028,0.45540817864456246
0.5247607469131537,0.47427126505806344,0.0009387962416692047,0.5257514975510802,0.4752906994145242
0.5064395707866007,0.49249673947910283,0.0010369336485439738,0.5075255074500247,0.49360890783865974
0.4912639171605488,0.5075795720672817,0.0011317570434396635,0.492442156400444,0.5087820252992896
0.481052629248011,0.5176767343340508,0.00124757305286125,0.4823442517401112,0.5189908627290737
0.46793071306198214,0.5307016321614733,0.001346195921049531,0.46931886429170394,0.5321106695997501
0.4557147335196857,0.5428189859132658,0.0014462683576186009,0.4572010309013805,0.5443247077738426
0.4415138867419068,0.5569111098194678,0.0015565244898304218,0.4431084255503039,0.5585235233914092
0.4359229991148383,0.5623802675857275,0.001679203348698095,0.43763864326283897,0.5641128205482233
0.4259666908654641,0.5722319629110494,0.0017848843717395947,0.42778651570625237,0.5740676135684007
0.41419466141871153,0.5838892816576048,0.0019007456437639466,0.41612876184534303,0.5858380411117445
0.4055355423962765,0.5924404248543403,0.002009598039838605,0.40757721227263183,0.5944958624241953
0.39627990717998807,0.6015822165033006,0.002124320257579956,0.3984350191285733,0.6037502021109178
0.3886577820911192,0.6090928853428745,0.002236507295231252,0.39092397058834766,0.6113712020269538
0.38044712237215733,0.6171862433401479,0.0023545469637999295,0.3828302371828911,0.6195807330945634
0.37777634224868045,0.6197144125836905,0.002497602567849772,0.38030160692768755,0.6222505902006666
0.3703491948819573,0.6270195913737051,0.002620201553894582,0.3729960840548804,0.6296767477492906
0.3633372129250919,0.6339078337149023,0.002744521072816871,0.36610750929581914,0.6366878020801361
0.35758443219600605,0.6395391298623619,0.0028664889383077778,0.36047590054572365,0.6424397722286855
0.35043484362728317,0.6465573426472826,0.0029984089802813302,0.3534573693020161,0.6495884821960577
0.34530155854028177,0.6515654703052682,0.0031239772018587663,0.3484489505910454,0.6547210507288629
0.34313752462140223,0.6535644073605743,0.0032893634233614123,0.34644964768957703,0.6568844110713135
0.3384326197647982,0.6581394152793105,0.003419618341410653,0.34187437224763945,0.6615886756086452
0.3298591460290601,0.666613266402592,0.0035197395919080014,0.33340032445414336,0.670161441822353
0.3289474991422408,0.6673550793136094,0.0036897569795483662,0.3326581924046723,0.6710725680839211
0.3241849120745724,0.6719781178627294,0.003829629620617707,0.32803490513746014,0.6758345668421762
0.319642365932747,0.676379241076464,0.003971354687900277,0.3236335414872185,0.6803765549081069
0.3159540564911177,0.6799282234159981,0.004110932893285978,0.3200843337799271,0.6840643728857246
0.31179012559412816,0.6839469450600063,0.004256407141422229,0.31606538716162436,0.6882277982325266
0.30841912389355486,0.6871748044682834,0.004399769299256262,0.31283731693074646,0.6915983541554855
