AC,AC_FL,AC_T,BDP,BDP_AC,BDP_FL,BDP_T,FL,FL_T
0.3096231187469944,0.0027288729390315537,0.31315242395300186,0.1984562022877549,0.0012065953463222248,0.0017546032238107585,0.20106398769082687,0.4863269831698692,0.4906707036127584
0.37118170591824384,0.0022869864298212836,0.3743119609274131,0.20068568597129907,0.0011103311866102552,0.0012421304696203842,0.2028215426506761,0.4235861504281631,0.4269856524203608
0.35954545140788224,0.002371902704985667,0.36263741603596067,0.16617734164869688,0.000857693016935136,0.001095928331165694,0.16802971022235677,0.4699917648120481,0.4734034926762777
0.32729032457221685,0.002296535151934935,0.33041166685196943,0.18567065741344338,0.0008844199495067759,0.0012868239054985612,0.18780364214660286,0.48259832383243684,0.4861574804564326
0.39019720334186525,0.0016246030576457164,0.3929385704616871,0.24974287951510074,0.0011188297529479642,0.0010160683031140657,0.25188954107012956,0.356309204830626,0.35894709750011045
0.3911823317608329,0.0018126919550961271,0.3939921050146219,0.21144551942252077,0.0009526751472047531,0.0009542239350722353,0.21340439904787617,0.39364694861049976,0.3964350883327776
0.403582090103993,0.0014985169866060179,0.4062220231839938,0.24670366272279431,0.001050318445624262,0.0008873239312897679,0.248734729678366,0.34624259816345837,0.3486834693189942
0.4448525337619696,0.0013422293293579766,0.4473312692235958,0.23761878894153796,0.0010090844518428018,0.0006848780420404941,0.23943393222692744,0.3144334865935085,0.31654634651980895
0.1388206226969641,0.0034242611987161994,0.1426267293272602,0.08281865062510368,0.0003367257225540343,0.0020205604634351794,0.08522889985865428,0.7726487501383346,0.7780607622462401
0.16220511284991335,0.0033489794137696286,0.1659600823809728,0.08580164658639561,0.00034889954021349813,0.001746901224217922,0.08796074174745568,0.7466216318310978,0.7516821118075058
0.44298097872651787,0.0011257463621176843,0.44532284294724317,0.2616639931785691,0.0010243963564821616,0.0006309112556395921,0.2634979089627358,0.2924707071502085,0.29436432633370685
0.48448054583879313,0.00104494131046368,0.48674826697009227,0.2474220232821521,0.0010141478436267901,0.0004946141613131721,0.24911737370525705,0.2654238496349251,0.26712425250780525
0.4513308874227992,0.0011223597188454663,0.4536734598088901,0.2551953041344682,0.0010076420237804648,0.0005976779233488681,0.2569955005190059,0.2906317005633662,0.2925048208563755
0.5071171191671892,0.0008340641549279739,0.5092235148753961,0.2600353202497734,0.0010324516978289376,0.00038747207172649067,0.2616665843802243,0.23043841506325735,0.2318604565810427
0.4929797852011851,0.0009547517248726829,0.4950856091329952,0.23961633933820323,0.000911671015069992,0.00042086652381106326,0.24115844157389418,0.26498025185740637,0.26654109738105214
0.49686070507750374,0.0008754843906271419,0.498973850406581,0.25556390598446377,0.0009886959577637062,0.000408882918696039,0.2571810534414066,0.24514846433973494,0.24663410299855507
0.46467184607951795,0.000947711607047699,0.46687375423176997,0.2669656599888923,0.0010069338525484192,0.0005068845217817488,0.26870370254939824,0.2657544459938645,0.2673983178768785
0.5034190600921005,0.0009408342351121444,0.5054841871747883,0.2302616327705394,0.0008715529411494544,0.0003836521892608721,0.2317343307884854,0.2639809673486577,0.2655021295920763
0.49703151674290363,0.0008513074274853156,0.49908884014064747,0.2525760922045256,0.0009438867594555962,0.00038957590769802663,0.25413943341153467,0.24804753062900192,0.2494990471981736
0.49843058948214736,0.0007868448402877405,0.500519594999347,0.2697942851632863,0.001034417022738171,0.0003857298297353292,0.27145166170429635,0.22939235649347725,0.23078850895646588
0.5094226168756363,0.0007380766533188498,0.51144035390193,0.2659540307333117,0.0010050629421710247,0.000343421885016694,0.2675431711353623,0.22235406422857001,0.22366890402134884
0.474383079303747,0.0006093362307066535,0.4761499619861904,0.28725690867717074,0.0008600624393485645,0.0003341195188836093,0.2887187490917028,0.2363610028710164,0.23754690795389852
0.5123471390459053,0.0006558746717957519,0.5143556593459041,0.2813369766614774,0.0010696502502396724,0.00032083891398453784,0.2829771066167075,0.20406918478795694,0.20529512885816464
0.5239184009919994,0.000618902372825632,0.525894459894397,0.27880616182810314,0.0010703183173525778,0.0002886432270657724,0.2804158472725599,0.19509062339126457,0.1962560867633869
0.5252332023423055,0.000592750543623329,0.5271626318208131,0.2788720843699164,0.0010453744464838726,0.000273786989541715,0.28044537941847125,0.19377200382503237,0.19490117546671165
0.5350087525254598,0.0005810898444943526,0.5369256759695726,0.27388871021255373,0.001043550440068751,0.0002548400962170501,0.2754398061121033,0.189010155471625,0.19011286301146585
