AC,AC_HC,AC_T,HC,HC_T
0.16088109672460504,0.00030337886472357983,0.16118041959672258,0.8393259181380963,0.8391030810824386
0.15274859756907508,0.0003609686275845591,0.15310635823884639,0.8473472920092097,0.8472373071362301
0.14631375875587604,0.00042429399338580657,0.14673544838830452,0.8536752703497563,0.8536735872267627
0.14110019534203763,0.0004932140992069317,0.1415912385903886,0.8587838573897815,0.8588883899095288
0.14714964906999062,0.0005614148489327794,0.1477089408332872,0.8526467470692929,0.852839364401784
0.150166042775655,0.0006755949509231371,0.15083967399418094,0.8494856581440215,0.8498239208633254
0.14560386246727308,0.0007630681041482372,0.14636516477675565,0.8539373099176623,0.8543870742819537
0.1573769677902413,0.000886683031651136,0.15826174720480327,0.8420251696975015,0.842614271073373
0.1527438568998808,0.0009871494829009318,0.15372921926541025,0.8465397470311898,0.8472482647610866
0.15476420508472116,0.0011374490490075322,0.15589983659844972,0.8443512077838801,0.8452286868110086
0.15084377795203785,0.0012509883885891634,0.15209298502979948,0.8481441828264898,0.849149892071338
0.16577281660680648,0.0014568889957373033,0.16722763056010878,0.8329978635065863,0.8342211209448135
0.16151729652911473,0.001585813817410734,0.16310103436020623,0.8371132015242758,0.8384773783235295
0.16273639587185715,0.001774762358272316,0.16450895876760557,0.8356936305639849,0.8372589596337746
0.1657592417128948,0.0019014613419332542,0.1676583848459091,0.8325381349916788,0.8342364375991191
0.16669156960594128,0.002107693252490801,0.16879679587399024,0.8313898385343329,0.8333047646023612
0.16942135774780287,0.0022452459268193347,0.17166400652112915,0.8285174243248262,0.8305752921595444
0.17012898601640777,0.0024686982749559166,0.17259491872390306,0.8275780229770999,0.8298682970640426
0.17261252444529507,0.002617060019650109,0.175226679755712,0.8249417522842515,0.8273850672517697
0.17314185341471097,0.002857669275126397,0.17599643432690543,0.8241646340450899,0.8268563530128381
0.18144021822094486,0.0029948437854581756,0.18443176770321548,0.8157272382315441,0.8185579833881673
0.15933159070195949,0.0027397778841104312,0.16206853738389332,0.838092538482248,0.8406669210896933
0.1855973848725122,0.003323371165819727,0.18891716552603202,0.8112342572903332,0.8144014252710953
0.19364364773868478,0.003467657058647407,0.19710750364825871,0.8030419798701999,0.8063551622526439
0.19768368180612,0.0035401050447262093,0.2012198793548618,0.7989286318754513,0.8023151279455473
0.20579271378727623,0.00368552417411918,0.20947411586506187,0.7906724466000858,0.7942060951835567
