AC,FL,AC_FL,AC_T,FL_T
6.930668172218401e-5,1.0000540972732122,-2.001666925551202e-6,6.946409426220976e-5,0.9999324451645796
6.332856236446796e-5,1.0000498003436749,-1.1192146209132723e-6,6.411097723688719e-5,0.9999381675771413
6.0570801209128425e-5,1.0000454083523358,-4.206190174000431e-7,6.190092359138595e-5,0.999940775510564
5.6554542954694254e-5,1.0000415422286772,3.5714501034399135e-7,5.848689792958308e-5,0.9999446179160251
5.676327793483367e-5,1.000037067758759,8.983751878609325e-7,5.917882547319129e-5,0.9999443517099739
5.8142357650280085e-5,1.0000316845658295,1.451420214830986e-6,6.107238013395822e-5,0.9999429346111854
6.116379575542756e-5,1.0000261020483039,1.918397418958303e-6,6.456357621783939e-5,0.9999399160351148
6.295927994862059e-5,1.0000207068159763,2.476002502727559e-6,6.688608911140562e-5,0.9999380906655254
6.674556849895521e-5,1.0000134762266162,3.070477005103466e-6,7.126012278797809e-5,0.999934298275263
7.188378046319735e-5,1.0000061057091119,3.5624588244031126e-6,7.69139393650242e-5,0.9999291838947867
7.946641930106582e-5,0.9999973107846005,3.9993491688594806e-6,8.499549959501446e-5,0.9999216629703851
9.004957737037729e-5,0.9999854641935473,4.479359524526539e-6,9.61437004926755e-5,0.9999111644710492
9.823987537855069e-5,0.9999751368944696,5.000157401768836e-6,0.0001048939334042822,0.9999030136281949
0.00010953248823749473,0.9999617484533563,5.526791707687181e-6,0.0001167731545782117,0.9998917813055106
0.00012394804266483908,0.9999461779803277,5.960284793599422e-6,0.00013171788082857677,0.9998774612428507
0.0001383813083561175,0.9999297123785632,6.504913601889111e-6,0.00014676406690474725,0.999863096647257
0.00016080185172668264,0.9999069999210517,6.846020035096945e-6,0.00016967928664455624,0.9998408289611604
0.00018313958021921027,0.9998834795476947,7.3139264079987545e-6,0.00019260595666637518,0.9998186121197911
0.00021043982417751466,0.9998550260951553,7.745186282716977e-6,0.00022047647984011832,0.9997914507814493
0.00023777187375454846,0.99982656030608,8.178479628446197e-6,0.00024836913954076796,0.9997642459840245
0.00027967157095740456,0.9997842871875631,8.525541026851558e-6,0.00029082944724590106,0.9997225591260916
0.00031027589263819236,0.9997517735415478,9.033675922298902e-6,0.00032203540232865604,0.9996920489086105
0.00035555960349333276,0.9997053835729628,9.418140641856809e-6,0.0003678763974634711,0.9996469380126465
0.00041242332553514927,0.9996482444640649,9.633334186450322e-6,0.0004251888583591117,0.9995903072597981
0.0004687691390920276,0.9995907972885523,1.0005006209625192e-5,0.0004820910157615373,0.9995341461554907
0.0005375315284808673,0.9995217467442297,1.0211926217121482e-5,0.0005513060560225691,0.9994656289441394
0.0006044515978899457,0.9994537151695506,1.0590927336274046e-5,0.0006187944402382798,0.9993988982649116
0.0006808168172244979,0.9993762726549733,1.0928625029694232e-5,0.0006957002338873117,0.9993227360308018
0.0007666947214916123,0.9992894176703183,1.1162226839667085e-5,0.0007820256895294552,0.9992370722462239
0.0008767670733647589,0.999179064902131,1.1286300835813598e-5,0.0008925234742238105,0.9991273007593777
0.0009989874737491551,0.9990566488166964,1.130769217804512e-5,0.00101507936204729,0.9990053940083171
