BDP,BDP_FL,BDP_HC,BDP_T,FL,FL_HC,FL_T,HC,HC_T
0.08446272946526515,-5.556690852247493e-5,-0.0001577309261775425,0.08450319947114905,0.8691157730893074,-0.0005486977524887742,0.8690095979281229,0.04675068147578099,0.04671964578715433
0.08048293446125843,-6.1193568099548e-5,-0.00015206831438612612,0.08051820658519018,0.8604997174338035,-0.0005164326803147765,0.8604145295338288,0.05934200732052001,0.05932179026717052
0.05609201364921024,-1.6783458936034797e-5,-0.00010633302722408838,0.05614624782381223,0.8907283171881234,-0.0003900141665347594,0.8907227390561534,0.0533697105590803,0.05341970279238342
0.054589366977354864,2.943240486179333e-5,-8.694565948662402e-5,0.05468322662284595,0.8971312449280716,-0.0002744109483160986,0.8972319739040536,0.04832705957198826,0.04844345066421083
0.08849791637137809,2.75096850391383e-6,-0.00012262381713153703,0.08859790061422415,0.8429987972215276,-0.00031828975955583693,0.843099361855626,0.06860554482515553,0.06869709221830565
0.06504719538282633,3.340609427091951e-5,-8.944863956842645e-5,0.06515681220207888,0.8724577658596946,-0.00020945155778875476,0.8726322461355577,0.06248282644346647,0.06264673558222576
0.07696538375669428,4.277651307056311e-5,-9.10392809938259e-5,0.07709665415788579,0.8507620211710335,-0.0001616031731093642,0.8509978047126839,0.07220526086747765,0.07240583905006229
0.07328020880733263,3.008447192344607e-5,-8.824426814564796e-5,0.07339836872179695,0.8481639692045438,-0.00014029454303437588,0.8484067761278244,0.07848688982871652,0.07870389786055544
0.01650856040473208,0.0001959257695711608,-1.3731243348522847e-5,0.016724890557943736,0.9671010416481636,0.00022159714825789543,0.967648535711282,0.015868033162934274,0.016287192024946117
0.01573131974480186,0.0001761441733313811,-1.2882533568018481e-5,0.01592824198366119,0.9654342439225,0.0002808548920541943,0.9660210125831702,0.018274284714765436,0.01875158190214065
0.07374923738452183,6.254711335604507e-5,-6.184900194953508e-5,0.07390753614273424,0.834591898375584,7.12406277494952e-5,0.8350358047894,0.09136256502149369,0.09175153101288461
0.06975609211186888,4.6597046179516355e-5,-5.9578093334433706e-5,0.06989742663537374,0.8320444653419643,9.750542402476479e-5,0.8324970387084869,0.0978994952366502,0.09831020035767511
0.06399589679794634,7.439702156851629e-5,-4.46327867871976e-5,0.06415929343634745,0.8461528700911665,0.00020550964458301827,0.846708550483315,0.0894194947654067,0.08992174408203048
0.0737074623239094,3.4225124920738086e-5,-4.931046337438577e-5,0.0738512408344272,0.8046371935653543,0.00021082227467384692,0.8051884870984821,0.12126214182870432,0.12177341507588701
0.057691861406405844,4.460482143096571e-5,-3.878130021587166e-5,0.057825987923127244,0.8355990117629439,0.00029641426809693983,0.8362116921097007,0.10622977002012447,0.10681190393329175
0.064172813278038,4.5679762257335215e-5,-3.294683164929833e-5,0.06432076407607654,0.8185719050521921,0.0003563851781480668,0.8192471558057164,0.11671186823345152,0.11735235125184329
0.05852577946560194,6.377355672694288e-5,-2.4107941641689754e-5,0.05868375026795496,0.8380857590888263,0.0004370967070260179,0.8388349058122042,0.10274664846058335,0.10345858616418967
0.04839211664241126,3.8279050820949625e-5,-2.267652917697306e-5,0.048516140201431246,0.8371475920296673,0.0005095250503212304,0.8379375276076386,0.11378768194674341,0.11456042701034021
0.0531638402146585,3.758642754732644e-5,-1.8960835815186652e-5,0.053296193354605455,0.8271677406034669,0.000540054973504774,0.8279896360541544,0.11896141395785333,0.11976643536352945
0.05741687699796165,3.508237883399431e-5,-1.191819997246746e-5,0.057558069198896944,0.8129038045226804,0.0006070421411473624,0.813790422684941,0.1289045568988258,0.12977648277734577
0.05481693111237388,2.33634441848477e-5,-1.3627305705989964e-5,0.05494272071817363,0.8140321532137103,0.0006060248632812943,0.8149058953017959,0.13039324154666426,0.13126171928264355
0.05195411257646757,1.2359486341710761e-5,-1.2679929543375427e-5,0.05206722078518149,0.8105861920954055,0.0006418400884909433,0.8114828984473932,0.13668321488733498,0.1375826968912656
0.05706107350767143,1.2962119729920941e-5,-7.164361225496856e-6,0.057185500896433185,0.8004933230680469,0.0006733195777230724,0.8014236849397213,0.14163048376603432,0.14256472238995677
0.054019614617049516,2.9451721430578956e-6,-9.19440090374349e-6,0.05412928824909879,0.8024726033244509,0.0006739569935808896,0.8033927280347753,0.14270717099632718,0.14363882061410033
0.05262897166861984,-2.191801645586941e-6,-1.0192360365598678e-5,0.05273137395126909,0.8030372327122595,0.0006734835206657296,0.8039515909726459,0.1435413255215305,0.1444709968589147
0.05124739032791101,-7.0995991198694705e-6,-1.1166480732632363e-5,0.051342755194707504,0.8035883103893335,0.0006729933187663736,0.8044971022401106,0.14437975825350685,0.1453074410696103
