AC,AC_HC,AC_T,HC,HC_T
0.07771151821813238,0.00034387096476112356,0.07805445230851597,0.9223046494547764,0.9222795903977942
0.08313060076079068,0.00039169584488398836,0.08352134796174557,0.9168241222542194,0.9168607122808582
0.0883411149880526,0.0004424302009562398,0.08878257934326106,0.9115501640520869,0.911650413405025
0.0939712563586279,0.0004957402843226322,0.09446599355707008,0.9058557974530418,0.9060204474030188
0.09881091858795485,0.0005483855883111444,0.09935826826054293,0.9009534231073705,0.9011809789369103
0.10344725964995229,0.0006074595301709295,0.10405365052089821,0.896247436415781,0.896544876235931
0.10794931394051624,0.0006651760047334269,0.10861337912872543,0.8916787334443099,0.8920430265785388
0.11163640783476911,0.0007258218704271165,0.11236108470518562,0.8879218047611559,0.8883561864207168
0.11699994296841125,0.0007963979629633655,0.11779512678777836,0.8824793219864863,0.8829928498359275
0.12036302512131486,0.0008622734815817413,0.12122404053534791,0.8790421720541692,0.879630026038587
0.12493103698623326,0.0009292519142543308,0.12585896035653654,0.8744006416906098,0.8750621882285824
0.12914026449070598,0.0010087845998323793,0.13014764965320597,0.8701041331043287,0.8708532118120819
0.1320781189451716,0.0010822520548363311,0.13315891465730545,0.867085829544293,0.8679156186695274
0.13611781865540584,0.0011619642267272229,0.13727824630325114,0.8629601309235555,0.8638761357265827
0.13948727474544817,0.0012394625737858777,0.14072512654449448,0.8595073436225655,0.8605069014501963
0.14327579137510982,0.0013242017504732945,0.1445982954563608,0.8556283631800454,0.8567186038222633
0.14573859265093123,0.0014075568188326602,0.14714438030835558,0.853076472357802,0.8542560635996542
0.14929397236102804,0.0014973581373358535,0.15078946814568564,0.8494260842528095,0.8507009035864673
0.15206114409895452,0.001590952529411262,0.15365014662188728,0.8465599635290681,0.8479339889962546
0.15489669699009184,0.0016804759321737083,0.1565751337976583,0.8436302742676122,0.845098658261859
0.15862780863885442,0.0017833819375196486,0.16040904013620813,0.8397915711452423,0.8413677646089254
0.1612734970118732,0.0018776989249834953,0.16314895154403952,0.8370473315553003,0.8387222981973462
0.1636499580231838,0.001981638582785767,0.1656292536309856,0.8345624397824319,0.8363460920760651
0.16547156298477436,0.002082312191155811,0.1675514411272273,0.8326359872348162,0.8345247422496471
0.16834394622235285,0.0021897281456678907,0.17053112970819564,0.8296523498392004,0.8316525776201086
0.17067423210835167,0.0022934721946656915,0.17296505726318942,0.8272147423044939,0.8293225111200208
