AC,AC_FL,AC_HC,AC_T,FL,FL_HC,FL_T,HC,HC_T
0.08683200627162985,0.004832940657559601,-3.981010310941355e-5,0.09167068389902745,0.09376775264968919,-1.8855123138372127e-5,0.09862007435490733,0.8147677055580816,0.8146179684433725
0.13701644526418813,0.004082483649425995,-6.032164921001352e-5,0.14111454176754568,0.10043326329951666,-3.096112930473475e-5,0.10455018704552063,0.7586819649105604,0.7585103694682664
0.18137335646886016,0.0034852967666905194,-7.986303321505259e-5,0.18488411562839216,0.10376579414537591,-4.19515878556507e-5,0.1073002015158375,0.7115997638417012,0.711410142700534
0.2201968022500477,0.0031653752821510723,-9.809861340143894e-5,0.22339668948126623,0.10999068434842324,-5.2875035448472965e-5,0.11321826514767663,0.6668784951073766,0.666674760241289
0.2531643873555436,0.002778337017680064,-0.00011515140301231462,0.25598612408211396,0.11083319004774643,-6.201434214161818e-5,0.11368674577491046,0.6334616706713693,0.6332448241314504
0.28142012932056226,0.0024918949001330373,-0.000130300863615155,0.2839633127408885,0.11096959553200923,-6.961231131262604e-5,0.11354848046094682,0.6053601292562834,0.6051328840498782
0.307517493665402,0.0022166517764291745,-0.0001451072599283131,0.30979325171478933,0.10948020339435784,-7.63271972828164e-5,0.11179574503597403,0.5810308883539154,0.5807938350959846
0.3294900943294152,0.002042189705388904,-0.00015789678387911053,0.3315980487711967,0.11026719035674003,-8.274628074264469e-5,0.11241815279111475,0.5584478906872035,0.5582035651168189
0.35242000109822363,0.0019260881585766347,-0.00017035334338890692,0.3544181549889015,0.11114418556429652,-8.842354917565056e-5,0.11318883056711693,0.5347569491486677,0.5345075382606873
0.3711221542141744,0.0017728106103686893,-0.00018148620900465534,0.3729729031767652,0.10992729165819304,-9.291770811241588e-5,0.11182784187689267,0.5174254223550712,0.5171706352804945
0.3919366010528266,0.0016192239859361887,-0.00019347948718880984,0.39364006045356004,0.10738990602231414,-9.674919787140346e-5,0.10914724057223892,0.4993011457832034,0.4990414276047566
0.41139319534884133,0.0014937436822951404,-0.00020358165029115191,0.4129764727695109,0.10420882548050042,-9.889975973915623e-5,0.10584995424473481,0.4831484374105023,0.48288597941316763
0.4262872430576189,0.0014092703429917747,-0.00021219352930931367,0.4277905385723687,0.10358723431100741,-0.00010199791058787666,0.1051511334680765,0.46895889250826284,0.4686940159377004
0.4423798909416524,0.001347616212395712,-0.00022069666954036913,0.44382586656178685,0.10336151250484152,-0.0001049040176948363,0.1048709223260983,0.453150633726455,0.45288471330707203
0.45814650395987105,0.0012640032484611242,-0.0002290150580693936,0.45951322100354314,0.10155062721575879,-0.0001068455134432818,0.10298395645197088,0.43927528055312154,0.4390082094501081
0.47335019486346325,0.0012219263656878677,-0.0002363020614779377,0.4746785138855396,0.10162183056858694,-0.00010917124572756682,0.10301928427582605,0.42403822380652617,0.42377178059574344
0.48750410213631595,0.0011295058804261333,-0.00024325151614121933,0.488743755355712,0.0980275048073788,-0.0001093363572466108,0.09933963343130195,0.41356719921654606,0.4133001978609638
0.5026007075745705,0.0010785295584236942,-0.00024972410285901964,0.5037927136700453,0.09651092322642388,-0.00011015935719022953,0.09777824587950262,0.4000328333848975,0.39976726865128537
0.5160253858574672,0.0010334386367499382,-0.000255060070154743,0.5171750664278824,0.09507055762230342,-0.00011058516349124031,0.09629801894060552,0.3880883720757403,0.3878246503820818
0.5300740502994927,0.0009933417499321273,-0.0002605559246790544,0.5311864602875183,0.09410031351300273,-0.00011129695635783133,0.09529291283735492,0.37504430875074934,0.3747829373760729
0.5457887265859053,0.0009419300201824183,-0.00026575969787109307,0.5468524388100428,0.09127056922249331,-0.00011039751828596694,0.0924175277593214,0.3622035667175917,0.36194535365618524
0.5580285725827454,0.0009349952079586722,-0.0002697013803080652,0.5590872674631187,0.0922401054403262,-0.00011169329222808338,0.09338342947686454,0.3489951457242526,0.3487407107680392
0.5704497042046546,0.0009122974743802036,-0.0002729627374572504,0.5714873562104718,0.09139530316781785,-0.00011145280657900948,0.09251936587164906,0.33743497135789047,0.33718450179816056
0.5830977541286378,0.000870499977081876,-0.0002763983561522398,0.5840954550507053,0.08923984358383424,-0.00011046903023011639,0.0903261546438606,0.3269776300760894,0.3267306521049931
0.5965731279267787,0.0008566835843235357,-0.0002793056807100152,0.5975584417061893,0.08876970993103163,-0.00011018362522418174,0.08984528045877546,0.3139785597705733,0.31373675701719034
0.6103915492028137,0.0008242196117287187,-0.00028232960434973855,0.6113459896486566,0.08696149002897863,-0.00010909262883353355,0.08800825426662408,0.3019930657398491,0.3017560623023185
