BPD,BPD_FL,BPD_HC,BPD_T,FL,FL_HC,FL_T,HC,HC_T
0.11953885800500476,6.661726231367327e-5,-0.00012951562689222552,0.11972600197106373,0.8039749105345958,-0.00026755865158654046,0.8041970003203991,0.07646854547040739,0.07659334525388392
0.10480959505003602,8.657481815737502e-5,-0.00011161923440119395,0.10500427304543102,0.8233766198295615,-0.0002184555979058967,0.8236343438714087,0.07173782299562802,0.07189767481428558
0.09486810485054668,9.696952320898409e-5,-9.937469968960327e-5,0.09506522703883442,0.8355473423028164,-0.00017758468131086742,0.8358331700317216,0.06946597504627594,0.06965505240335307
0.08417056164955797,0.00010836315732059811,-8.691832884908103e-5,0.0843697387650999,0.8502111447769296,-0.00013447737114200353,0.850525979442304,0.06545409019965115,0.06567354283601427
0.07865203107174097,0.00010982356238917987,-8.014925047413767e-5,0.07884855752650495,0.856240360198365,-0.00010380777258095299,0.8565741218150155,0.06491714653115334,0.06515912382308917
0.07510844861226496,0.00011363269595419748,-7.414950460181542e-5,0.07530630448314551,0.859888889070701,-7.064890402711249e-5,0.8602478512850168,0.06478012667082836,0.06504714951140629
0.07188691729651914,0.00010983688537725133,-7.010401624959331e-5,0.0720791737455224,0.8620582883864109,-4.5487786163364856e-5,0.8624313606397501,0.0658151321832473,0.06610181216012298
0.06727833566517655,0.00010820196910050938,-6.460943273695096e-5,0.0674656689443712,0.866604652164391,-1.2495909421129533e-5,0.8669980719096941,0.06585139489782904,0.06616351995877309
0.0631011781514071,0.00010588187995230571,-5.983697324400063e-5,0.06328300795944283,0.8710646854046283,1.7704492573175772e-5,0.8714759470506622,0.06554544069936628,0.06588092913484692
0.061514355334172266,0.00010335767176885614,-5.65950455758846e-5,0.06169321034975587,0.8712708508911717,4.6191415018649755e-5,0.871702356747137,0.06690330453716928,0.0672622380981995
0.06002166739524296,9.533821744720057e-5,-5.483902506050953e-5,0.06019220912287223,0.8707509997825141,6.47308508281218e-5,0.871190635510922,0.06890794153319518,0.06928264319607716
0.0584921071619954,8.741019030865216e-5,-5.2692707081376804e-5,0.058654722382346536,0.8694554585169,8.939503005330665e-5,0.8699091274187589,0.07171945727071817,0.07211536400856432
0.05583784247475354,8.154005010563155e-5,-4.957796983103354e-5,0.05599309225258979,0.8706751911800397,0.00011908194006967821,0.8711468039234829,0.07313404167162486,0.07355465841967675
0.05336893051466191,7.567550395363041e-5,-4.685225261115808e-5,0.053516741232175605,0.8721000923780658,0.00014605601090443094,0.8725873693528156,0.07416041673730048,0.07460350961331227
0.051909020862163334,6.795364330163292e-5,-4.510530245554315e-5,0.052048806030680385,0.8711658142827853,0.00016908510669240182,0.8716659292442694,0.07654213118665047,0.07700520797267259
0.04951071581680659,6.20755592992471e-5,-4.257719358087859e-5,0.04964296421430615,0.8725865994973502,0.0001968803695875711,0.8731033270124396,0.07750114490079679,0.07798759974777077
0.04979418507431238,5.454577099860337e-5,-4.1564229040428154e-5,0.049920800867638164,0.8681297054999785,0.0002193203143343435,0.8686619397194709,0.08166139880013053,0.08216858680211969
0.048304210688302235,4.726727658045717e-5,-3.991087530132429e-5,0.04842306748565899,0.8672248550037798,0.00024359124372525933,0.8677715406489587,0.0840421115062485,0.0845704824055789
0.04684433213951758,4.036511618231553e-5,-3.810491751554144e-5,0.04695594849574372,0.8658843943109759,0.00027152695571946116,0.8664494275934264,0.08682450360156985,0.08737740865284553
0.04534687980829963,3.3491607701004015e-5,-3.6534768214428505e-5,0.04545100482711551,0.865001219581619,0.00029666012579362136,0.8655819202995061,0.08918979649620166,0.08976469785156346
0.0447410613211244,2.5765376374586765e-5,-3.563542456237967e-5,0.044838129576008474,0.8616567628505345,0.0003176970961538651,0.8622507407538902,0.09312926611989623,0.0937231869815566
0.04251670593186376,2.1135376175069847e-5,-3.349951130569071e-5,0.04260722226535918,0.8631712867857129,0.00034821878640458806,0.8637859659520324,0.09381641405870259,0.09443659468125287
0.04180481577552364,1.638563744839598e-5,-3.1810704854135326e-5,0.04189088677268286,0.861227497473833,0.000377814419545751,0.8618646340782599,0.09644949828347608,0.09709622344235297
0.04113462101025436,9.734538205474906e-6,-3.07231099460064e-5,0.04121466115165127,0.8575563735141432,0.0004036510645324195,0.8582122379259174,0.10077444030510788,0.1014445131816692
0.039198402296001134,4.210929703919947e-6,-2.9367641640702283e-5,0.03927139818241914,0.8572194440499861,0.00043125395979680197,0.8578943033303007,0.10302904875813039,0.103723148588324
0.03908338369513256,-1.131026907821725e-6,-2.8397016746253465e-5,0.039152128502913025,0.8534757240674741,0.00045416612043947826,0.8541679887485506,0.10687215550224873,0.10758721394513932
