BPD,AC,FL,HC,BPD_AC,BPD_FL,BPD_HC,AC_FL,AC_HC,FL_HC,BPD_T,AC_T,FL_T,HC_T
1.4919586156612933e-5,0.9872664782179965,0.005864484479342792,0.00013217433005097243,7.340501127992468e-6,1.8478786029631872e-7,0.001791931155365748,4.3354057011514765e-8,-0.00012281041392405315,1.6705063633705452e-5,2.1320824832898922e-5,0.9891774637235233,0.007823599878468089,0.0001765167478864273
1.5521508489007895e-5,0.9884614727936405,0.004746845449822179,0.0001431979084272815,8.660683021766717e-6,1.2615118064744636e-7,0.0016976829558181736,-1.3318406432721147e-8,-9.923104525091617e-5,1.823853643264077e-5,2.3120949632268714e-5,0.9902874987903217,0.00660307886173237,0.00019954513940800584
1.6070439507800278e-5,0.9869468292452913,0.005584837162368501,0.00015294161072983468,1.0033761063333702e-5,8.172895574239157e-8,0.0023704601836823484,-9.532997301424601e-8,-7.711509426544347e-5,2.4208606544512515e-5,2.496558685401476e-5,0.9894519302105017,0.00810368661752889,0.00022281140800182263
2.2960695913609674e-5,0.9855812136720928,0.006240342571098303,0.00016215791134541747,1.571646462376038e-5,6.276924410503551e-8,0.003066563217228988,-2.039968694329961e-7,-5.388701337189881e-5,3.0544261432242395e-5,3.722111691014309e-5,0.9887946223372563,0.009445398353731928,0.0002469909887362763
3.150896021411769e-5,0.988976389799537,0.003811716128414296,0.00015795277621441042,2.3634555725423044e-5,-1.1772246589921591e-7,0.002071849069857072,-3.657538610953618e-7,-3.870789401375751e-5,2.5123375517547877e-5,5.319448309495656e-5,0.9912152564134228,0.006021217692326271,0.0002506557769566893
3.1638692264322795e-5,0.9881349655420059,0.004074241470416318,0.00015831010715488847,2.726750000553521e-5,-3.6045970288964497e-7,0.0026543479397636194,-6.553495738930981e-7,-1.371529052075145e-5,3.112629668506654e-5,5.6798671724044213e-5,0.990970094968769,0.006857234217752433,0.0002681084953817246
4.242537913438514e-5,0.9889631537674751,0.003412518045328879,0.00016763681917100442,3.946487018768036e-5,-6.20640082343033e-7,0.0024436574146783348,-9.590351680235597e-7,9.963603199749194e-6,3.041968409811964e-5,7.922991576717392e-5,0.9916181194032144,0.00598221784486724,0.00029587882389705346
4.344101659325419e-5,0.98987263997696,0.002722745447000906,0.00015778281135303123,4.5330104482731306e-5,-1.0840217630256441e-6,0.002226600080500662,-1.4031598877275414e-6,2.4713427963821088e-5,2.9496783510908277e-5,8.583305746489207e-5,0.9923264863880897,0.005072214501035715,0.0002957531941369236
5.4701394224741844e-5,0.9665345796047032,0.014711058330934706,0.00016065870819056624,6.188262483073656e-5,-8.664666205146759e-8,0.013804004596920286,-1.7777907410243297e-6,8.404785638776889e-5,0.00011319330671027896,0.00011411008949979439,0.9805059193099546,0.028530318518607,0.0003204111085542108
5.626840972453323e-5,0.9705501379980414,0.011922023350504561,0.00016376080281237183,7.02999826735421e-5,-7.781863014124492e-7,0.012538647849904485,-2.358656912666877e-6,0.00010761180885321052,0.00010805580770933654,0.00012361895751331233,0.9832942422091218,0.024480906826844052,0.00034553717008106244
7.397658977995165e-5,0.9904897388026427,0.0020290658040868445,0.00017800385504592635,9.684712342149835e-5,-2.732208391563804e-6,0.002169168696622595,-3.1843967856457458e-6,0.00010183469636343911,3.032405456043009e-5,0.00016606818834828658,0.9930028520329518,0.004314527031030229,0.00038211092064318084
7.423153061936689e-5,0.9911950430201938,0.0015788726408761007,0.00016588036073084738,0.00010886129563727848,-3.8041361349229725e-6,0.0019128748446144825,-4.214859312057671e-6,0.00011644806308830321,2.814404154911506e-5,0.00017791740105682548,0.9934790270319227,0.00360748702823643,0.00038218316897387533
9.302937638906898e-5,0.9907805090208961,0.0016734776714350387,0.00017453810245010037,0.00014387684150462022,-4.63805392559348e-6,0.002161789340409621,-5.1707503546451865e-6,0.0001446553409190202,3.0654563300645e-5,0.0002307093221838904,0.9933722629553368,0.0039484241193307465,0.00041653253517712836
9.557592886414004e-5,0.9920218733312619,0.0010718818628412741,0.00017865597856604707,0.00015892662895746807,-5.773051925987023e-6,0.0014689248051740786,-6.178929140463536e-6,0.00017310852595525274,2.3850105846715873e-5,0.00024782191302148455,0.9939698726913551,0.00265789403469305,0.0004475060615803831
0.00010056344313027578,0.9917802291824391,0.0011270352588599831,0.00017842501642394227,0.00017494753342038987,-6.474854670031886e-6,0.001633017253576809,-6.933074748018394e-6,0.00018770982092802384,2.5564467657697382e-5,0.00026837913428212314,0.9939221285063352,0.00287636602806909,0.000461360023569184
0.00012060040018617058,0.9921452618209464,0.0009052350412975857,0.0001826065211371787,0.00022476345223263448,-8.12395742082867e-6,0.0013945836935567316,-8.592372241705367e-6,0.00021856640246201912,2.3075866806229938e-5,0.0003368615833974239,0.9941311333786872,0.002417453150159716,0.0004946425515877383
0.00014620953083317807,0.9919665491629541,0.0009152303530291609,0.00018281801123770744,0.00028467107803904404,-9.528509152010345e-6,0.0014750500128191586,-1.009697576596088e-5,0.00023470290829208422,2.3912287797298458e-5,0.0004207972433898249,0.994107950220723,0.0025072237789274,0.000510009266752731
0.00012878178534446753,0.9923872054793583,0.0007335338542100129,0.00018751402137612343,0.0002650558498972043,-1.0293173026271223e-5,0.001239395821699237,-1.0755468019598987e-5,0.0002652932387465997,2.144364451059442e-5,0.00038424961298052406,0.9943097653342818,0.002093749920221548,0.0005458412229047507
0.00015465999251511653,0.992635995160808,0.0005956346467991931,0.00018813809870653578,0.00033143205042053964,-1.204138548324048e-5,0.0010234625570135225,-1.2507609945979916e-5,0.0002826916441567655,1.9047431141020555e-5,0.000474788191506385,0.9944278043672056,0.0017410087158404573,0.0005625516204571955
0.000180189539333319,0.9928290286884011,0.00046726080164097354,0.00019306252567872524,0.0004088917636925259,-1.4324261627043557e-5,0.0008254725346815322,-1.4781498482364577e-5,0.00031707058130768024,1.6766085353098922e-5,0.0005758057372737833,0.9945374185207525,0.0014168236848240336,0.0006007651959291619
0.00018584561586354662,0.9930622139396357,0.0003750209266041811,0.000186334345355293,0.0004359625197897692,-1.5568872095572628e-5,0.0006601806626822778,-1.598258660427694e-5,0.00031685513052322515,1.4812563605936635e-5,0.0006078711966702134,0.9946349979160323,0.0011605351618372906,0.0005938429908147569
0.00021265126931173587,0.9931243848442189,0.00034122341913900186,0.00021035815580357843,0.0004631031327509006,-1.4230682785599272e-5,0.0005246353648190633,-1.460421259645811e-5,0.00033918684039383075,1.3178241279901498e-5,0.0006612905068859232,0.994602298725283,0.0009875504671878952,0.0006353405417162554
0.00021970769175959836,0.9932663266640878,0.00024321931620583493,0.00018860592540499116,0.0005517474092468693,-1.896107627355753e-5,0.0004112057917624634,-1.93284293575745e-5,0.0003526950267868283,1.1677433091505736e-5,0.0007546471487433535,0.9947451961058094,0.0007820854581427799,0.0006306319192768045
0.00022262351245494466,0.9933845199633312,0.0001977250046505843,0.00018283365444013398,0.0005759172865638056,-2.0211351698350452e-5,0.00032029658017109164,-2.0550004281691045e-5,0.000352113843941791,1.0469124097442674e-5,0.000781145720171566,0.9947987050046796,0.0006466987223226437,0.0006246320959120764
0.00022890170963465572,0.9934761294233928,0.00016090702411797174,0.00018012174827878826,0.0006009020109870583,-2.1062571926055976e-5,0.000238450637372576,-2.1371404660885654e-5,0.00035258942427251084,9.305343807799475e-6,0.0008118407080511759,0.9948342471393758,0.0005278070178185317,0.0006217698497662538
0.0002304370522534244,0.9935586437552699,0.00012964181230446694,0.00017473607220009097,0.0006228669602002564,-2.2329776478749258e-5,0.00017284033945933201,-2.2618463802107674e-5,0.0003518072570481525,8.345825388059846e-6,0.0008348080038447208,0.9948750132837896,0.000431895935872501,0.0006161304754786265
