AC,AC_T,BPD,BPD_AC,BPD_T
0.11465806598423577,0.11642842566709756,0.8835437987751159,0.0019986081122071457,0.8855229263816013
0.14319697975953208,0.14497910071155629,0.8549954011139319,0.0020096046990225433,0.8569873373089122
0.17035962672718705,0.1721601800258829,0.8278162381770712,0.0020247945789356146,0.8298248648575657
0.19664264734821638,0.1984672070523453,0.8015108512407925,0.002044560143479579,0.8035405102287595
0.22001681330330217,0.2218514824615314,0.7781279294350955,0.002049474341288843,0.7801635400111496
0.23919330857189147,0.24105918147858033,0.7589215108038707,0.00207247058456268,0.7609809894081799
0.25967941433961234,0.26154280004510916,0.7384388707165971,0.0020652066160444463,0.7404918427084407
0.27877091542653487,0.2806190922241922,0.7193634104099821,0.0020455516250931375,0.7213973907534345
0.299313385242584,0.30114761617222285,0.6988356666641778,0.002027928570192123,0.700852659079734
0.3119170419413176,0.3137166951651901,0.6862672183593517,0.0019873028489031806,0.6882440733671167
0.3280271949766147,0.32975777491580377,0.6702266191909684,0.0019153538873152144,0.672132035551488
0.34575360966136637,0.3474056909176681,0.6525791513685577,0.0018347023717782342,0.6544044371823224
0.3606293508873056,0.36217059807492746,0.6378145420973875,0.0017220436972331756,0.6395276492970522
0.37624364482637807,0.37765587070351797,0.6223295092430392,0.0015918161821649305,0.6239128879385739
0.39070375142860675,0.3919635456585345,0.6080219707927204,0.001438677138316903,0.6094527040918126
0.4064709768475018,0.4075631205543882,0.5924224865530464,0.0012709547616639842,0.5936860254325417
0.4168662603978208,0.4177848503815906,0.5822007529465032,0.001096054359652232,0.5832898764582168
0.4332033638689196,0.433931594167184,0.5660539586922723,0.000906750549437086,0.5669543548820521
0.45030562866092316,0.45083875189990225,0.5491466854157563,0.000713262465589958,0.5498542038859889
0.46731653247608834,0.4676573665879867,0.5323278690686799,0.0005231321377706225,0.5328458896753278
0.4872133610098879,0.4873777336578536,0.5126072908109393,0.00034934205213394223,0.5129522098765051
0.5073950095212506,0.5074067751616975,0.49257796383635544,0.00019996151991227108,0.4927742065348811
0.5254385623490971,0.5253368415009136,0.4746475543913715,8.876284139693067e-5,0.474733323371406
0.5487416354913235,0.5485745526710415,0.4514094699346718,2.7576358206821072e-5,0.45143481915305556
0.5790425519598343,0.5788746299263607,0.42110906978156337,3.244762294246887e-5,0.42114009260791885
0.6025530605330406,0.6024683714517578,0.3975148926214788,0.00011920025261752103,0.39763346246759174
