AC,AC_T,BPD,BPD_AC,BPD_T
0.034667265799906734,0.034743223800783984,0.9652356647114982,0.00015645515085338936,0.9653796428954702
0.05094388114770649,0.051072536113994704,0.948906845773046,0.0002182511955023205,0.9491130472632271
0.07001326490507868,0.07020422560137125,0.9297756757603525,0.0002889779448171609,0.930053021714673
0.09117341471719972,0.09143153742803238,0.908548896281873,0.00036371738310210484,0.9089013912970434
0.11348439374021588,0.11380882451531088,0.8861721354199982,0.0004366560198685707,0.8865979703514751
0.13488347008013785,0.13527561017236311,0.8647059788774291,0.0005084024969737632,0.8652039944197678
0.15858368760563962,0.15902985542884643,0.8409522127789509,0.0005677024558306645,0.8415099179258154
0.1827060481323612,0.18319449262076035,0.816788025240301,0.000614764975345651,0.8173931899072151
0.2084737642860578,0.20899275749319704,0.7909902000509184,0.0006499784438157953,0.7916310010786417
0.22895865912435454,0.22949103053760422,0.7704923460304679,0.0006654365997486931,0.7711490213036939
0.25238118213741967,0.2529018190042995,0.7470818502986298,0.0006575283027646987,0.7477310514011258
0.2775136194539246,0.27800673486374616,0.7219772098500742,0.0006339678325872326,0.7226033249564294
0.29995963362019973,0.3004010111020157,0.6995830987075515,0.0005858152039422712,0.7001615379937163
0.3225176619376655,0.32288793238282165,0.6770962748516071,0.0005184165716922696,0.6776078292138932
0.3441791493458588,0.3444648277221154,0.6555193964477705,0.00043757315071920027,0.655950639329684
0.36675800842171036,0.3669492511262563,0.6330349328967602,0.00034718521859942244,0.6333763634433839
0.3829539125700228,0.3830474651515041,0.6169365644072855,0.00025196815952170296,0.6171833514026319
0.4044296944221105,0.40442688750241895,0.595556916284409,0.00016010561487320117,0.5957124753689403
0.42591137039121274,0.425824661965033,0.5741588211435511,8.10710597729318e-5,0.5742360154541509
0.44637639717480454,0.4462306978392514,0.5537523429411414,2.7322964716785244e-5,0.5537764799838052
0.4686376208424932,0.468472817703236,0.5315097143040134,1.3921053245545893e-5,0.5315211918670752
0.4906647205144718,0.4905367579847122,0.5094451574248992,5.6986906550536746e-5,0.5095004517377174
0.5091120228429953,0.5091006757749862,0.4908804853267305,0.00017892899008487264,0.491058520557538
0.5320109044735205,0.5322125372201231,0.46776777410370124,0.00039927159964905955,0.46816695026365024
0.5611618729770295,0.5616923410934199,0.4382870859528721,0.0007373448942954375,0.439025123192074
0.5824652436302242,0.5834918772087186,0.416486455746015,0.0012407434599972479,0.4177287312710308
