AC,AC_FL,AC_HC,AC_T,BPD,BPD_AC,BPD_FL,BPD_HC,BPD_T,FL,FL_HC,FL_T,HC,HC_T
0.9879906379896123,0.0028643111475754805,-8.44172792493747e-5,0.9910559145524165,1.01554489279506e-5,5.815449139759197e-6,1.4650000687554076e-7,4.701020573526395e-8,1.5308060831585676e-5,0.008604680628455017,4.32223610702117e-6,0.011671057209076892,0.00029572009409004383,0.00040548251798146326
0.987804313139643,0.0032037967587117996,-7.246278027407945e-5,0.9912153081775468,1.3612173424247737e-5,8.22917415709918e-6,1.6428513425132301e-7,3.776406385792959e-8,2.1042188972811726e-5,0.008458080804629458,4.98130089561791e-6,0.011859373637284096,0.000278923696335255,0.00039600925854300873
0.9880333414608315,0.0034127785145022364,-6.15370811875326e-5,0.9916614229481243,1.7398345946952452e-5,1.1193094942793725e-5,1.708047243322989e-7,1.7984431349495478e-8,2.764801251753269e-5,0.00802199674687539,5.423177032396738e-6,0.011629015946196735,0.0002650870088115334,0.0003897110464729086
0.987947140689557,0.003706125670648202,-5.2197075069718916e-5,0.9918767636050182,2.1439471048530747e-5,1.4734524060251381e-5,1.7234030357181212e-7,-1.180617369510462e-8,3.508259409151946e-5,0.00781601768430801,5.869016719768762e-6,0.011713942278736024,0.0002515548450646294,0.0003829699572537136
0.9884726005471975,0.0037581861608802255,-4.367063632288899e-5,0.9924645184540147,2.590187567175257e-5,1.8912149597847017e-5,1.5625927312442592e-7,-5.349857225490648e-8,4.3565883197238604e-5,0.007234287592487904,5.970897588099727e-6,0.011182880722071142,0.00024171660713836622,0.00038008026826749484
0.9890070103620006,0.0037896708881997834,-3.436421773169756e-5,0.9930433714861943,3.113013843154396e-5,2.4273938546225644e-5,1.2443558763502624e-7,-1.1334563443377376e-7,5.397692272083591e-5,0.006659282659789712,5.978697370357093e-6,0.010638438931779699,0.0002335291776849447,0.00038004360963142086
0.9897299340589946,0.0037012524519372124,-2.6488087247348443e-5,0.9936910191025983,3.6205387353872464e-5,2.9965288994152965e-5,7.261591817924799e-8,-1.8499545436414336e-7,6.456736788827802e-5,0.006015082338524644,5.779992658719443e-6,0.009905490116300063,0.00022630146332299305,0.00038013100366431383
0.9901654193714235,0.003693853356768015,-1.7594621478255063e-5,0.994134237199741,4.152878726474707e-5,3.643857996040497e-5,1.0780378735045354e-8,-2.7065627754198267e-7,7.618466952601848e-5,0.0055725531764422185,5.620140856934864e-6,0.009455499845960948,0.00022144488488894302,0.00038385075040562645
0.9906512744761887,0.003664461034638958,-1.0024525030765987e-5,0.9946062135438212,4.6700854310881894e-5,4.378678931063829e-5,-8.229485678385761e-8,-3.8340490400565745e-7,8.850932271410586e-5,0.005104575623169452,5.330741386366002e-6,0.008958482938959783,0.00021377737290841352,0.0003838809594442248
0.9912525628946466,0.0035317004946922386,-1.339597954871878e-6,0.9950938218049346,5.357360592069633e-5,5.302490778408706e-5,-1.887888653104383e-7,-5.098877259555091e-7,0.0001044005426979037,0.004615206027430769,4.928612713380601e-6,0.008336952800868089,0.0002104357877234706,0.000389537593502064
0.9919946164533376,0.0033097505142832867,4.89403701782146e-6,0.9956314456559708,5.974578852848726e-5,6.233621199230465e-5,-3.241636909414515e-7,-6.515114923901613e-7,0.00011966400348237666,0.004078903334101099,4.381931551374289e-6,0.007579586379118754,0.00020507781091986561,0.000391075371099416
0.9927026921883977,0.003087666624716034,1.337910910049122e-5,0.9961387520729661,6.568738890763171e-5,7.270379877847712e-5,-4.996958518820723e-7,-8.273994915512568e-7,0.00013573405432325096,0.0035720852310272295,3.7600187169819718e-6,0.006851869660109899,0.00020108223137829068,0.00039647563952231507
0.9931682181407122,0.002940619832181922,2.2116863359252423e-5,0.9964794467939028,7.225801406972154e-5,8.399111373806674e-5,-6.707309834644253e-7,-1.0057033670007763e-6,0.00015335882696648079,0.003228812212901293,3.2517251480399333e-6,0.006362711040409532,0.00019918867236531386,0.0004042079713065013
0.9936298548021117,0.002784134048545223,2.9532907575007732e-5,0.9968072051018149,7.884909666176631e-5,9.644637555680403e-5,-8.740894837018042e-7,-1.2123248043863686e-6,0.00017215446866176355,0.0029002620905584637,2.6848058899247645e-6,0.005879104992284583,0.00019572019994280087,0.0004093489601936393
0.994164867770847,0.002565188981759098,3.708080066655463e-5,0.9971473089596871,8.591761061599425e-5,0.00010997915435387118,-1.0975253151901107e-6,-1.4312416167696795e-6,0.00019249280535453756,0.00255789216686264,2.0897148232366137e-6,0.005319254500256211,0.00019341692113531838,0.0004158216263934858
0.9945692942267179,0.0024020509872168944,4.4589119005774605e-5,0.997414100037903,9.298831158601755e-5,0.00012478800233621794,-1.346990198547583e-6,-1.678723985447236e-6,0.00021409803714690008,0.002289228672450328,1.5135789761883987e-6,0.004889125217522993,0.00019073806555200035,0.00042209632571343025
0.9951115085214781,0.0021414969912493123,5.364271919589251e-5,0.9977264752573125,0.00010223449466482167,0.0001431020132196735,-1.6346499735237341e-6,-1.955075069520723e-6,0.00024133812348900647,0.001971087696704896,9.154687710793621e-7,0.0043120721522071056,0.00019008416333660805,0.0004318759359567625
0.9955300636327259,0.0019400544486929065,6.130048353262473e-5,0.9979722755988111,0.00010971525561839139,0.00016047903511383013,-1.938883241770802e-6,-2.246023414445511e-6,0.00026589237564733187,0.0017226837647549773,3.456445842945091e-7,0.003864093955529205,0.00018799948247869055,0.0004391070631501832
