AC,AC_FL,AC_T,BPD,BPD_AC,BPD_FL,BPD_T,FL,FL_T
0.5677363470022966,0.0006622466318137202,0.5687054323768908,0.03793291854114463,8.868273373670887e-5,4.0006213599575645e-5,0.038168036093933794,0.3935724631421775,0.394375803783083
0.5619561734303343,0.0007451750523853337,0.5630061228218259,0.036297509668467585,9.979056809368286e-5,5.25184399027014e-5,0.03654920157305342,0.40088722769049984,0.401774580271921
0.5639548062667609,0.000788675586486956,0.5650519822253387,0.035503143342665626,0.0001116490650459854,6.1024898712980775e-5,0.035770695111991234,0.399619026654951,0.4005547026874007
0.5594207058281547,0.000839973669697338,0.560570071444803,0.034575827663227955,0.00012172023787483832,7.189327147874038e-5,0.0348596783795647,0.40501163036505455,0.40600179106117235
0.5662849991998419,0.0008300405401212142,0.5674335298820664,0.034787934926940565,0.0001336777428460861,7.675545400166487e-5,0.035087045501517575,0.39792426019471744,0.39891162429975197
0.574018229472811,0.0008121110015334958,0.5751633646960508,0.03574344908741871,0.00015031517189259089,8.344995996976073e-5,0.03606525446775499,0.3892245148170348,0.39020416962669413
0.5858197453703594,0.0007611036879736176,0.5869279556073399,0.03655982216521499,0.00016410532141940176,8.499599240846494e-5,0.0368969627552007,0.3766351024633727,0.37757190674455304
0.5915104270863109,0.0007194329554996381,0.5925880078688037,0.037150384191773786,0.00017640429227555693,8.91290492792155e-5,0.03750342660028387,0.3703753450823562,0.37127714609969487
0.5999699142760786,0.000673148391911745,0.6010139529223374,0.03759586889776074,0.00019047042932908832,9.232433354587573e-5,0.03796531371203868,0.36149461968378854,0.36235697663024163
0.6098627461600299,0.0005973844961334646,0.6108517172699658,0.039496067235414586,0.00020938049936137452,9.555829382045024e-5,0.03988920020249904,0.34974749802522276,0.35054441904514233
0.6244935797523823,0.0005029680276377774,0.6254078470640508,0.04107367992729787,0.00022582189884380133,9.334751085059314e-5,0.04148265529323444,0.33360961955028123,0.33432001896149355
0.6409115234463196,0.00041073169989624893,0.6417547304084782,0.04245903952482864,0.0002441930965702539,9.025703970622027e-5,0.042884407918894474,0.3158730612487322,0.31649874187218713
0.6496435340946994,0.00032705132382670294,0.6504203995192498,0.04391993111035889,0.00025948884880306537,9.029579593217042e-5,0.04436187403403699,0.30574194361165563,0.3062905163107599
0.6594468249342764,0.00024334526207173563,0.6601584983848882,0.04534343750674457,0.00027598079222830574,8.963381164186496e-5,0.04580230896055913,0.2945759918736275,0.29504723145668477
0.6718548946659413,0.00015052423234402615,0.6724954444870653,0.047310331911279806,0.0002937658042313307,8.629021845085814e-5,0.047785778875870884,0.28026994070832933,0.28065510484338363
0.6808728835631713,6.917832820525199e-5,0.6814517255410238,0.048991004076252904,0.0003108234931572526,8.495217338693079e-5,0.049483656326009894,0.26962969182395785,0.2699395372521358
0.6954719608753723,-1.9464080884654137e-5,0.6959943514247878,0.05229350186524484,0.0003372354431066338,8.027135015802582e-5,0.05281152643599568,0.25178206018658,0.25201223406383705
0.707124562596482,-9.342789242585863e-5,0.7075966999564011,0.054458769328399485,0.0003569228337642682,7.57145873511223e-5,0.05499412658991852,0.23801324059498055,0.23817528310513802
0.7184893660070159,-0.0001584921860214602,0.7189207411241172,0.056705973359499576,0.0003771160608740071,7.076457767068912e-5,0.0572588369041486,0.22444112365687666,0.22454369250444725
0.728243920020569,-0.00021438552961862423,0.7286436280378414,0.05930028508283697,0.0003966244760728841,6.576832322061391e-5,0.05987047688625196,0.21212370147262696,0.21217602195307644
0.7423564953629832,-0.00025904177147906276,0.7427397403337794,0.06181861713272606,0.0004199037007206716,5.7674304617353786e-5,0.062406526654378035,0.19550983609066247,0.19552271121767176
0.7483997029903234,-0.00028797509389483217,0.7487765490173274,0.06439020017627559,0.0004384529410776063,5.4386411521678636e-5,0.06499596430454611,0.18690070194677116,0.18688973635085504
0.7571627301801284,-0.0003033510151850393,0.75755797168228,0.06800327111571239,0.000467476574415249,4.958433185233873e-5,0.06863658034199767,0.17450462707145145,0.1744847225328687
0.7680143243436891,-0.0003054369039748718,0.7684361195844167,0.07117583924850429,0.0004904427933364371,4.100074549376032e-5,0.07182687011153152,0.16045559863017655,0.16043847229038236
0.7772943993023687,-0.00029010403540295337,0.7777502498172648,0.07302511098688388,0.0005048749897033279,3.323328158128603e-5,0.07368480321163243,0.14929444850320364,0.14929570153639746
0.7857427631942918,-0.0002590730286966172,0.7862666265126957,0.0774489650238032,0.000535846457685363,2.5554009511076286e-5,0.07813619229228976,0.13635452783131738,0.1363928041810599
