BDP,BDP_Conf_Int,BDP_FL,BDP_FL_Conf_Int,BDP_HC,BDP_HC_Conf_Int,BDP_T,BDP_T_Conf_Int,FL,FL_Conf_Int,FL_HC,FL_HC_Conf_Int,FL_T,FL_T_Conf_Int,HC,HC_Conf_Int,HC_T,HC_T_Conf_Int
0.07374197545576677,0.00039184592936703584,6.310815681316028e-5,0.0007850085458224791,-6.13262062895663e-5,0.0007877064288199718,0.0739005337088953,5.943615074056151e-6,0.834512305622396,0.0014601831199496094,7.254521033640514e-5,0.002947025923523696,0.8349567861376261,0.00015068953110423472,0.09135377678626316,0.0005253688129092821,0.09174283476313332,1.8984884533246303e-5
0.06974920452908488,0.0003835444789102575,4.7166708767513866e-5,0.0007682850256512182,-5.9047591071065186e-5,0.0007713069428724042,0.06989080440214542,5.734391441526372e-6,0.8319650948564448,0.001466884894793783,9.886205075666796e-5,0.002962544806587033,0.8324182652288101,0.0001513039930393056,0.09789008136103569,0.0005456133024857098,0.09830088271273865,2.036446759047666e-5
0.0639896008912105,0.0003332811212766565,7.487003155437232e-5,0.0006692145323873115,-4.419403026064603e-5,0.0006706703949780396,0.06415321429495505,5.205794103937487e-6,0.8460722321863576,0.0013411358776603984,0.0002066899076195396,0.002707300539078379,0.84662842038303,0.00015235811985950414,0.08941089233592656,0.00047426199889981444,0.08991322081657452,1.878908903231872e-5
0.07370016624530362,0.0003952759012924801,3.4865820366355515e-5,0.000791938106898258,-4.871653920132087e-5,0.0007961921168558306,0.07384424528624103,6.5542953387248644e-6,0.8045603844051092,0.0014427100130060694,0.0002122900397235156,0.002918579138539097,0.8051123175056782,0.00015055604638794585,0.12125049392797334,0.0006068737960544096,0.12176187518404236,2.5275123117189737e-5
0.057686153054762636,0.00031995379299367706,4.5098996645725036e-5,0.0006421877445543852,-3.832411824103974e-5,0.000644577067912279,0.05782050948024077,4.982960522671075e-6,0.8355193361500314,0.0013454850335823621,0.00029770292346220265,0.002721028682719894,0.8361325687817986,0.00015344279650038136,0.10621955876503086,0.0005187639055372719,0.10680178048468685,2.2373261149416803e-5
0.06416646962362703,0.00033744824023585347,4.6218001231770935e-5,0.0006773765156357424,-3.245085857009615e-5,0.0006805579414581101,0.06431467091202317,5.7708077027455364e-6,0.8184938331770594,0.0013299987148783937,0.0003577097192508584,0.0026913015104279266,0.8191696480014977,0.00015247511687122673,0.11670065470008098,0.0005442292637686582,0.11734122961445012,2.457169373767985e-5
0.05852001534288691,0.0002961381581200233,6.421870545026552e-5,0.0005957837281417561,-2.369963564532664e-5,0.0005974411178398633,0.05867819039769764,5.143661105160497e-6,0.8380059031385858,0.0012367431629214684,0.00043824663070979786,0.0025002692678687,0.8387555290800732,0.00015369040120894893,0.10273677026088202,0.00047053918452644514,0.10344878019089168,2.183405619148227e-5
0.04838731985222604,0.0002714618018853747,3.871033612147402e-5,0.000545842003989644,-2.2280697499859455e-5,0.0005479239243314284,0.048511543881871066,4.421448098566811e-6,0.8370677984715174,0.0012444159770887502,0.0005107478290508737,0.0025198867692288475,0.837858242275616,0.0001551050076398533,0.11377674753397402,0.00049459321283077,0.11454956911941223,2.426029044136766e-5
0.053158578107623033,0.0002847586985496671,3.8045084750277806e-5,0.0005725829136163814,-1.8541352696320545e-5,0.0005752341813495908,0.05329114446119772,4.958533120917809e-6,0.8270888893500317,0.00123752364672385,0.0005412923063921626,0.002506350604985074,0.8279112976615123,0.00015437186970622364,0.11894998501822421,0.0005070157243191523,0.11975508453129044,2.5339010437040137e-5
0.05741119697563367,0.000295764853354453,3.5572149345689194e-5,0.0005947340800384304,-1.147213674019135e-5,0.0005981884041211984,0.0575526170322628,5.562678422249551e-6,0.8128262968298394,0.0012246343264949618,0.0006083085419129749,0.0024818000592232463,0.8137134364154571,0.0001535526979573284,0.1288921778659428,0.0005274865340067736,0.12976418402377696,2.7457126678290733e-5
0.05481149962719308,0.0002905533776398328,2.3849058714278714e-5,0.0005840980858027349,-1.318504522621472e-5,0.0005877196648751637,0.054937516317976595,5.320881582996247e-6,0.8139545314816046,0.0012327318472966288,0.0006073096986191759,0.002498740245438168,0.8148288041663656,0.000153812352556975,0.13038072034319556,0.0005325461202965265,0.13124927980681078,2.7782160064774057e-5
0.05194895256771696,0.000283966054538669,1.2844959288233968e-5,0.0005707205017803311,-1.2238067812489745e-5,0.0005746911116050779,0.05206228895254185,5.143394452552807e-6,0.8105088852926758,0.0012344483409096976,0.000643158074099702,0.002503858074298234,0.8114061351541206,0.00015400539480551754,0.13667009297088026,0.0005456630920218368,0.13756965873125232,2.915875604140271e-5
0.05705541680180017,0.0002971050103518767,1.3474226238458257e-5,0.0005972192589841716,-6.699821900702949e-6,0.000601765640765293,0.057180084521578134,5.752767709889512e-6,0.800416972296787,0.0012240778142300253,0.0006746424983982136,0.0024830634219425544,0.8013478778446308,0.00015300612100653326,0.141616889558868,0.0005555879363789236,0.14255121260534592,3.0189898804536754e-5
0.054014250196641155,0.00029008711867533504,3.449000201910914e-6,0.0005829897529327694,-8.737245575934699e-6,0.0005876238879386292,0.0541241613535441,5.452308063700955e-6,0.8023960591591601,0.0012305292886323135,0.0006752949206065223,0.0024966397580321923,0.8033167348808832,0.0001533586494051293,0.14269347406701266,0.0005587068939666109,0.14362520903645787,3.043894379394817e-5
0.05262374044866808,0.00028710693659130465,-1.6908440661309466e-6,0.0005769282684998103,-9.737726029049711e-6,0.0005816370636756612,0.05272637947619374,5.317476524491597e-6,0.8029606312768882,0.001234676453512618,0.0006748312992312037,0.0025053212252571025,0.8038755453162943,0.00015349314712260998,0.14352754901647713,0.0005613962761724224,0.14445730644619242,3.062353203336762e-5
0.0512422915057403,0.00028408113752419987,-6.601644556892368e-6,0.0005707776485183067,-1.071447319487529e-5,0.0005755600847783753,0.05133789225893337,5.183294329478661e-6,0.8035116529647436,0.001238828202861688,0.000674350963298661,0.0025140104429581503,0.8044210053448817,0.0001536253877721416,0.14436590177577263,0.0005640961441677503,0.14529367141808083,3.0809287299483645e-5
