AC,AC_Conf_Int,AC_T,AC_T_Conf_Int,FL,FL_Conf_Int,FL_T,FL_T_Conf_Int
0.6598214317270934,0.0008819609989906647,0.6618980084434476,0.6618980084434476,0.338115824275124,0.0008021946702167876,0.34007093674025657,0.34007093674025657
0.697072429942603,0.000881242572456813,0.6990641488442193,0.6990641488442193,0.3009393771052709,0.0007389898820791574,0.3028197167208238,0.3028197167208238
0.6539231043006188,0.0007914976307097835,0.6563565280069773,0.6563565280069773,0.3436448034092715,0.0007296960377895129,0.34597072137678386,0.34597072137678386
0.6204900689101177,0.0007237508437654394,0.6232876400807443,0.6232876400807443,0.3767108388010607,0.0007147302496408487,0.37940510356795826,0.37940510356795826
0.7222767453922992,0.0008002309280527064,0.7243924297123658,0.7243924297123658,0.2755936683606639,0.0006343554875955306,0.2776163761525265,0.2776163761525265
0.7026700580099292,0.0007350953807533644,0.7051041076456391,0.7051041076456391,0.29487754597506094,0.0006106718718977562,0.29722422519383845,0.29722422519383845
0.729894946619764,0.0007452253185706048,0.7320427626217894,0.7320427626217894,0.26793457632207424,0.0005813134120859756,0.2699988123585813,0.2699988123585813
0.7651299269996356,0.0007466580450450319,0.7669955337524137,0.7669955337524137,0.23297455667710826,0.0005334225622813073,0.23476342371482092,0.23476342371482092
0.3879489455626021,0.00039152591664092906,0.3934428888068349,0.3934428888068349,0.6065360608585925,0.000592835467060175,0.6119555740997529,0.6119555740997529
0.430905261507376,0.00041431509600097324,0.4357904172668296,0.4357904172668296,0.5641861789400834,0.0005807119464277601,0.5689977668619205,0.5689977668619205
0.7986626626180974,0.0007284121323766151,0.7999346778140978,0.7999346778140978,0.20002742875635726,0.0004753764413364549,0.20123010150461246,0.20123010150461246
0.8307116548540996,0.0007261520757051693,0.8316588388959703,0.8316588388959703,0.16829677807071447,0.0004287007962952956,0.16918071331023554,0.16918071331023554
0.8170619918670191,0.0007127974046179692,0.8178611373538409,0.8178611373538409,0.18209685516805243,0.00044100989870111273,0.18283021807144453,0.18283021807144453
0.8711633311242613,0.0007430623198018643,0.8715838186888142,0.8715838186888142,0.12836565515702786,0.0003761614706348736,0.1287280197504605,0.1287280197504605
0.8611993473847057,0.0007368580086568119,0.8614726716419145,0.8614726716419145,0.13847958811184044,0.00038940843589046304,0.13869159190635977,0.13869159190635977
0.8838101429234184,0.0007411067925493352,0.8839278361538078,0.8839278361538078,0.11602027061532336,0.0003549739121577825,0.11608036064883118,0.11608036064883118
0.8791311924764829,0.0007430105713323625,0.8791622057540058,0.8791622057540058,0.12078847509436266,0.00036395394012823766,0.12075859548552989,0.12075859548552989
0.8992628366342803,0.0007499000989064993,0.8992920106987345,0.8992920106987345,0.10065511099349458,0.0003323006569432227,0.10062646645475612,0.10062646645475612
0.9154734919151422,0.0007669622862977747,0.9156006406515733,0.9156006406515733,0.08434424367956525,0.00030848610303124604,0.08441516887188845,0.08441516887188845
0.9316948956954665,0.0007754717568953915,0.932028137333089,0.932028137333089,0.06791345821237263,0.0002778942508536858,0.06819330331840981,0.06819330331840981
0.9436987686743393,0.0007939669778679896,0.9443450479188724,0.9443450479188724,0.05559453549626877,0.0002559320067667878,0.0561888252877595,0.0561888252877595
0.9489367677116899,0.0008795942441194645,0.9500626874683181,0.9500626874683181,0.049879883084384256,0.0002656188238474349,0.050949138867934826,0.050949138867934826
0.9629565122630985,0.0008170800223264154,0.9643915947976195,0.9643915947976195,0.03554305998716147,0.00020998115490369754,0.03693030879199351,0.03693030879199351
0.968685758263178,0.0008377155499523011,0.9706665663463893,0.9706665663463893,0.02926688332645742,0.00019598997045471508,0.03120047640984742,0.03120047640984742
0.9750419645577558,0.0008520698564620879,0.9775322755960525,0.9775322755960525,0.022398752302975687,0.00017611993366397532,0.024843953758093312,0.024843953758093312
0.9798953038365479,0.0008556042506699456,0.9828896332930677,0.9828896332930677,0.01703892559523704,0.00015754384030867405,0.01999047546320283,0.01999047546320283
