AC,AC_Conf_Int,HC,HC_Conf_Int
0.8710961433807854,0.0012013647033168983,0.1283404847311922,0.0005933858190561898
0.8682531576199286,0.0011275766384484514,0.1311343094265979,0.0005651677767426952
0.866945708676951,0.0010681395098091652,0.1324123655107165,0.000539516707813152
0.8675736963255298,0.0010231369393733647,0.1317888421307551,0.0005163453994545544
0.8784981733893247,0.0009981747772423847,0.12093295840781515,0.00048059367372376045
0.8875266848668014,0.0009471895329245838,0.11194804704507792,0.0004380941412792869
0.8909038428822731,0.0009281641829049926,0.10864975676982831,0.00042265531581980696
0.9073103999476192,0.0009016330113592159,0.09235223312317302,0.0003763389972097697
0.9117308568826141,0.0008925985382324998,0.08802365261920395,0.0003631220743252154
0.9213366179266071,0.000871853797913364,0.07850501250062437,0.0003339261190001498
0.9285532884116028,0.0008723645507780737,0.07135660478013241,0.0003173451015125646
0.9447838441602965,0.0008483087028797149,0.0551424118011869,0.00026970838561582645
0.9525943450259765,0.000853058321043388,0.047282024794233046,0.00025001348911051386
0.9615071703300313,0.0008491087454079844,0.03821847875043426,0.00022292429058238795
0.9712136307640838,0.0008599255009546367,0.028248958396282914,0.0001933197257703139
0.9792715394188903,0.0008556967735458425,0.019761691978995157,0.00016167092936654449
0.9867195197237069,0.0008666687894276998,0.011736594787819214,0.0001290493741038826
0.9914819514431488,0.0008623446040105871,0.006178487199186301,0.00010191824610221933
0.994742199302286,0.000871246257333499,0.0019853980682667267,8.143882921662328e-5
0.9953818642633794,0.0008612902800539102,9.791604516234042e-5,8.12776554093067e-5
0.993842465899648,0.0008606790447179935,0.0006371411983499382,9.860885362236813e-5
0.9878503451390246,0.0009308330296673584,0.005160091150268561,0.00014555128485623664
0.9844239235660621,0.000848907897464894,0.0075162376919641425,0.00015704138324738564
0.9788933568900948,0.0008356775149388082,0.012184716858906267,0.0001803177822008771
0.9717550721699239,0.0008280077323012056,0.018469951312238598,0.00020623145157112706
0.96594500647521,0.0008072642808565539,0.023616383014909058,0.00022200924212392213
