BDP,AC,FL,HC,BDP_Conf_Int,AC_Conf_Int,FL_Conf_Int,HC_Conf_Int,BDP_AC,BDP_FL,BDP_HC,AC_FL,AC_HC,FL_HC,BDP_T,AC_T,FL_T,HC_T
1.6335787945877953e-5,0.9920038513133724,0.005750417781758306,0.0001362784299010971,2.1341586855749725e-6,0.0002798020733401535,0.00011450149821366166,6.054226455565736e-6,5.656950857311064e-6,-1.4468960577693323e-6,-2.5431225827156766e-6,0.0020360763414487425,-2.0249349242851875e-5,0.0003084736215358217,2.141399399643281e-5,0.9938181002570415,0.007857380060242313,0.00017730114161018765
1.689897249739184e-5,0.9931999664785239,0.004628713704680816,0.00014777805604810487,2.3259594432212973e-6,0.0002738853341816363,0.00011151752825752402,7.0135870029280975e-6,7.1000079794779214e-6,-1.355645564987727e-6,-2.5254630388754333e-6,0.0019367325094188596,-5.7848143657295685e-6,0.00030715215064987635,2.32204665437454e-5,0.9949274879081903,0.006631193226083886,0.00020043072072177653
1.7136394095730726e-5,0.9916807583922175,0.005444586855594077,0.00015787177090299326,2.61847188373822e-6,0.000282658440978822,0.00012959632386282233,8.143630893807506e-6,8.95951867586898e-6,-4.979874817582602e-7,-1.9894558882257278e-6,0.002629048026212872,9.920911287506406e-6,0.000367325427784273,2.5070398924473257e-5,0.9940537579471224,0.008137579135628337,0.000223788884123229
2.3859296987904863e-5,0.9903098760340366,0.00607868332670545,0.0001674848472817651,3.437812981316419e-6,0.0002912048973241814,0.0001457363248362921,9.366772353644477e-6,1.5012141004308884e-5,4.550250016768205e-7,-1.7001704289010634e-6,0.0033425318831573287,2.5957992556848993e-5,0.0004246410905183416,3.737327733727389e-5,0.9933586247964762,0.00948418623138598,0.0002480618176233664
3.283038910371878e-5,0.9937097147385872,0.0036670302964719563,0.0001637369762644165,4.051220736086451e-6,0.0002707690382059007,0.0001210219671312838,1.0108148645005219e-5,2.2598881728172943e-5,-4.375100832594112e-7,-2.6321664897428863e-6,0.002320346770900422,3.415034504498825e-5,0.00035915315683900887,5.340996613030965e-5,0.9958169359090725,0.006045660994026063,0.0002517542488079061
3.2374143558774154e-5,0.9928612697851531,0.0039051347283419304,0.0001646086326509415,4.511193508941505e-6,0.00027845040474706173,0.0001351848354230613,1.1718735365371813e-5,2.7163653511579528e-5,8.729482537231188e-7,-1.777477720660804e-6,0.0029205737636361574,5.079406722282186e-5,0.0004180863783571294,5.70193625712005e-5,0.9955302929537935,0.0068842901232763504,0.00026926923643089243
4.316333376561448e-5,0.993685880511524,0.0032437595031575587,0.0001745780978761484,5.404124955491369e-6,0.00027273863950794786,0.00012957425521279803,1.3145652129829916e-5,3.9650528468966465e-5,1.0709829960538827e-6,-2.0084888958925817e-6,0.002705737041866814,6.95071490404373e-5,0.00040976368359042575,7.953137450421503e-5,0.9961789014768943,0.00600546631968926,0.0002971608120979223
4.3907504560073496e-5,0.9945897127907164,0.0025524532670046485,0.00016523748249032055,5.75684669497397e-6,0.0002672768493573561,0.00012346458811823258,1.4412247515773524e-5,4.614914937064093e-5,1.1946310051965168e-6,-1.933891585134704e-6,0.0024835647625581513,7.801916639277623e-5,0.00040457145803011774,8.614814244385229e-5,0.9968822398839631,0.005091425162240251,0.0002970356428823544
5.061566687207908e-5,0.9711351836316622,0.01434492323590826,0.00016827793299429534,9.525646685471496e-6,0.0004199700291036364,0.00029377612676834234,1.6621575786370184e-5,6.81079291638352e-5,1.613231219584909e-5,6.801219809024611e-6,0.014190910685155975,8.381664801848258e-5,0.0010189422912349343,0.00011446096701218083,0.9845746368251638,0.02862942964335677,0.0003216040118490448
5.190685618886707e-5,0.9751581166349383,0.011549267766623683,0.0001724088880738335,9.808015333938409e-6,0.0004086830183438182,0.0002795220365458146,1.8505799218370358e-5,7.706873817362222e-5,1.6020497301228903e-5,6.740067202906992e-6,0.012919514567431411,0.00010127103693594272,0.0009988331424332767,0.00012398216532165978,0.9873776605890112,0.02456365911599491,0.00034682939517426977
7.337451608709836e-5,0.9951846699681385,0.0018447093895104058,0.00018780872847295278,8.45664394021074e-6,0.0002661161485313166,0.00012055246166244771,1.972318385534224e-5,0.00010029073755068988,3.0474839208483515e-6,-1.4601193432551572e-6,0.0024327183079473342,0.00014189153442939858,0.000426765119439992,0.00016661834103244352,0.9975241835315712,0.004329904440594669,0.0003837627783451396
7.304602932699819e-5,0.9958780179647185,0.0013956175882592205,0.00017655262315419818,8.882704060706893e-6,0.0002640059387993888,0.00011318135124274112,2.1546992077885215e-5,0.0001136747352366884,3.053045165087876e-6,-1.3887710842489052e-6,0.00217120094070286,0.0001514614824856228,0.00041725441642046494,0.00017847032744717963,0.9979924399057406,0.003619876501145921,0.00038384375967330124
