AC,AC_Conf_Int,HC,HC_Conf_Int
0.1608647877112744,0.001130776358603078,0.8392458864949379,0.00314043384949738
0.15273319828622742,0.000987725436512994,0.8472665580746055,0.0028232686998882054
0.14629907478857393,0.0008766740266711007,0.8535939821869494,0.0025648096688627754
0.14108608789007432,0.0007881873848251249,0.8587021216426732,0.002350329389305916
0.14713496908117302,0.0007685103129223212,0.8525656084462,0.0022355080701000943
0.15015111203675097,0.000715785727581511,0.8494048467342715,0.002054517993266509
0.14558942031923067,0.0006572933282472008,0.8538560999276774,0.001916678533858855
0.1573613877795417,0.0006554538871175122,0.8419450994253452,0.001826404955195482
0.15272876409996908,0.0006072001814081528,0.8464592674502516,0.001717990223403676
0.1547489434472697,0.0005749364359369452,0.8442709519510642,0.0016113672751817095
0.15082892462018907,0.000538156713529259,0.8480635814650356,0.001527461790554942
0.16575651921191273,0.000544119646164031,0.8329187048762836,0.0014615061831231855
0.16150143604128087,0.0005120475247805798,0.8370336644881652,0.0013932724668915852
0.1627204368530571,0.0004897750248490528,0.8356142385917387,0.001324120745561381
0.16574299832642886,0.00048227715327359475,0.8324590470037897,0.0012887269014423357
0.1666752533027581,0.0004628251096550288,0.8313108682309348,0.0012300787664016398
0.16940478492170685,0.0004561958166906666,0.8284387303863457,0.0011998223201218797
0.17011236015885073,0.00043909659751127124,0.8274994255727919,0.001149500822598386
0.17259566539513466,0.000433214293556285,0.8248634082125286,0.001123359356891302
0.17312495697137562,0.0004180933888796823,0.8240863700179435,0.0010797485128611086
0.18142251934345419,0.0004256687425821221,0.8156497736981783,0.0010697684089237204
0.159316037262814,0.0003976075061008287,0.838012957086663,0.0010758358049242404
0.1855792977777098,0.0004146453126405443,0.8111572240955143,0.0010259408780430353
0.1936247840592162,0.00042128646448544196,0.8029657224995519,0.0010166016033883605
0.19766442843785642,0.00042451456454513034,0.7988527639520384,0.0010119026947905162
0.2057726787169743,0.00043078795278502435,0.7905973601764524,0.0010024526698460992
