AC,AC_Conf_Int,BDP,BDP_Conf_Int
0.4038561164063492,0.0014651338345621722,0.5952123792189385,0.0014175402340153075
0.4474450509409761,0.0014984393427364565,0.5515579341468488,0.0013294283763651208
0.48851367402624224,0.0015218706146702661,0.5104382722078101,0.0012466348921410198
0.4505792575102223,0.001320140826947234,0.5480949767111986,0.0011620996540776276
0.42050873401144734,0.0011687115764993413,0.5779186955324154,0.0010897017593267406
0.46982576746212495,0.0011989684903306705,0.5285088008499044,0.001015660803117795
0.44311472191879187,0.0010853697752954646,0.5549942943671144,0.0009671409695520169
0.4873445603666025,0.0011122147233176547,0.5107098884825741,0.0009104865884039032
0.46359448730252134,0.001024891259275508,0.5342717125877048,0.0008773540356641782
0.5038525278891208,0.0010499078776194041,0.49400730518568975,0.000832650148366669
0.4835556927101094,0.0009833879155384181,0.5141745639879707,0.0008101166990376563
0.531546390922301,0.001008045933733285,0.4661942111930049,0.0007585698054294148
0.5138712202335717,0.0009579680666044733,0.4838118467933539,0.0007451278703929124
0.5487399561032065,0.0009824318367326883,0.44906839655837494,0.0007156163941244352
0.5741087427197762,0.001008337164743576,0.42389409639449305,0.0006999522208640854
0.5679305722092269,0.000971946213151385,0.4300995007111796,0.000682651464756499
0.5572529038186942,0.0009412129739436576,0.4408223516799959,0.0006744216053606076
0.6250823642196063,0.0010195775660096116,0.373358195785465,0.0006412353963580389
0.6145453519037323,0.0009930564794240178,0.3839835814542831,0.0006376718427932967
0.6133702725378813,0.0009696523156160425,0.3852708489282469,0.0006240816361961095
0.6377439233963982,0.0009946905434560856,0.36112426360588334,0.0006102403241258498
0.6249216879011918,0.0010459325292384001,0.37424628871029014,0.0006581168185133531
0.6538395701915563,0.0009962189654919604,0.34533222330788454,0.0005918608416282037
0.6747607051692014,0.0010098397063205017,0.32453761813663884,0.0005747917405878054
0.6903932883331124,0.0010281573625350252,0.30903840242109415,0.0005662731520691547
0.7094196029407803,0.0010392478396625037,0.2901219580887253,0.0005493039036892814
