AC,AC_Conf_Int,BDP,BDP_Conf_Int
0.5629054734684623,0.0023965088534743453,0.4367369516897516,0.0017044841793989695
0.6050742388104892,0.00236229053921431,0.39451709940383467,0.001543775347560876
0.6425353870538878,0.0023166242727953473,0.3570080851238585,0.0014008896573601964
0.6048606224455865,0.002032807288695324,0.39443316650051785,0.0013278218686437527
0.5735117090527149,0.0018059866035034845,0.42552456808073946,0.0012549673023199272
0.6191946965528713,0.0017741311929380475,0.3797468798905905,0.0011249651522274415
0.5909119021691216,0.0016027612075549121,0.40774481399021545,0.0010754001883002261
0.6298152584738734,0.0015750741820589,0.3687400397895767,0.0009771569183340382
0.6041407193191436,0.0014412536562583157,0.39409966714138533,0.0009417573610623546
0.6379541489603411,0.0014174833112208267,0.36017808288445846,0.0008650199818741226
0.6144887245088835,0.0013102070591675796,0.3832969420925634,0.0008387943437104419
0.6536651940219034,0.0012824010313730772,0.3439694786139666,0.0007580482206779384
0.6319381063532126,0.001196381890758698,0.3653116117569052,0.0007399812691854395
0.6578510165798594,0.0011781535719089073,0.3392802960001427,0.0006910585273124468
0.6738572745923982,0.0011650500623650692,0.3232006145907191,0.0006607894858840373
0.6612438445552542,0.0010907054433341465,0.33534390348304,0.0006360583229812045
0.6425775479414509,0.0010299182698969127,0.35355844893885,0.0006248387142779451
0.6962170629616746,0.0010620951447345075,0.3001830700492881,0.0005749871748673464
0.677405940433223,0.0010068165227108943,0.31851480409218097,0.0005685156359234114
0.6663010047575497,0.000952483894509657,0.32907759619765653,0.000551432735633823
0.6786682359578624,0.0009442195414332287,0.3166227797180049,0.0005327503162424896
0.6533138846903691,0.0009604324466722087,0.3421565838896327,0.0005710216355874555
0.6739921252087108,0.0008934658695710752,0.32067388664204327,0.0005101007762252509
0.6852186717071306,0.0008861673955807961,0.30935705823019777,0.0004941890540609786
0.6906416361198645,0.0008824485815166292,0.30389045552459876,0.0004864932970757487
0.7011215779278348,0.0008748976393970832,0.2933261301456832,0.0004716022411882089
