AC,FL,HC,AC_FL,AC_HC,FL_HC,AC_T,FL_T,HC_T
0.2351125399436924,0.22903669915476071,0.5312424789846593,5.536621964521899e-6,0.00023340441640139705,0.0008335677712010654,0.23549205834637085,0.22952917827021796,0.5314451202344644
0.24245109145691146,0.2437079194356479,0.5090741302711145,4.4446068298236676e-5,0.00027130919580060903,0.0009024587039588108,0.2428958121459959,0.24428202891217873,0.5094055877978264
0.25086195154191104,0.25140507694107955,0.49282457352951603,7.677009968089056e-5,0.0003082793808618865,0.0009486096375324352,0.2513718950392576,0.25204899866006286,0.49326498859844553
0.2575173472029961,0.2647962184362765,0.472622727597681,0.00012135673791852191,0.00034464411595285795,0.0010096971110765982,0.25809874429199364,0.2655272015313174,0.4731807879549179
0.2659886664278828,0.2670675750313299,0.46175970987968634,0.00015007475932583847,0.0003799946711670401,0.001035664564442133,0.2666346527885788,0.2678569022789226,0.4624039338435957
0.2743468794397373,0.26777692432988964,0.4525637612434267,0.00018088506093021613,0.00042084719178196495,0.0010616618167387038,0.27506500655559796,0.2686280723431169,0.45329905962840944
0.2836658335933045,0.26476214815979326,0.4461524411014713,0.00020423298923976337,0.0004601904202411418,0.0010707172443009138,0.2844508023736881,0.26565868326924474,0.44696161045498384
0.2897523419974475,0.26586507671129755,0.438834509235803,0.0002383668115491927,0.0005033374633467763,0.0011011990076978389,0.2906123513172935,0.26682698082853895,0.43973449101097606
0.2986576924074204,0.26670271034502274,0.42895761236826346,0.0002768532386937639,0.0005487503765018339,0.0011228677058395548,0.2996016302898465,0.26773120418610746,0.42994791676917615
0.30577571768773504,0.26315700388841967,0.42526910779925287,0.0003043969967815431,0.0005966937944474934,0.0011374764487217365,0.3067964949644459,0.264236702167317,0.4263404564774845
0.31602467065271883,0.25684662831058724,0.4212368017524078,0.00032417000519476506,0.0006420904309004077,0.0011291346041296527,0.3171169599448127,0.2579570102985391,0.4223704564402823
0.32641127007486403,0.2487273896471717,0.4188591915674477,0.0003447866518828751,0.0006999778297943239,0.00112220589871596,0.327588358741821,0.2498718082162494,0.4200693820292459
0.3323590096376927,0.2459348880163677,0.4155822654613507,0.00037552540529632567,0.0007542519903416096,0.0011391786200409088,0.3336205464498059,0.2471330239685418,0.41687820987503593
0.3398600461165462,0.24348296115339466,0.4104098497022488,0.00040951684412029185,0.0008090411692952669,0.0011508367280604712,0.3412106960209094,0.24473504755985234,0.4117896912763258
0.3477716279777055,0.2376729938720265,0.4082042686694669,0.0004313911119327335,0.0008657817989338132,0.0011488044537926684,0.3492042347045407,0.23895889459955755,0.4096573943648278
0.3545956147371351,0.23552332024851919,0.40340298254298984,0.0004674695571236776,0.0009241216977887743,0.0011619496249829428,0.35612203964829203,0.23686513496745681,0.4049427491448979
0.36280498752870266,0.22603472711000921,0.4045884725904093,0.0004766136393501917,0.0009914127515091831,0.0011471477742712411,0.3644139045067556,0.22739040081964593,0.40620039133411356
0.3707214288504656,0.22072319800579074,0.4018711845811176,0.0005010609409301041,0.0010565162046976603,0.0011444426458685755,0.3724225048653543,0.22211369024595656,0.403563221505244
0.37751905404307834,0.21521082435760464,0.40046723757864156,0.0005247524458937922,0.0011278623632527303,0.0011454758401284507,0.37931688200320895,0.216637454824468,0.4022469707564001
0.3839169959284603,0.21072605941440994,0.39844244913444543,0.0005487684122592185,0.0011943272027091696,0.001146572343875399,0.38580654466212555,0.21218771683818136,0.40030371970621015
0.3934502676663982,0.2025845752284638,0.39694859925439313,0.0005614915610784462,0.0012714264847562284,0.0011259817933202277,0.39543552325704984,0.20405815779112899,0.39888773955058326
0.3976957958914844,0.20176830352715283,0.39338571141707807,0.000600463997007166,0.0013380062232884978,0.0011456044385365924,0.3997832745837735,0.2033014536756513,0.39541887309915846
0.40340729911003925,0.19721172886597754,0.392105315567488,0.0006255594712203566,0.001417478547662395,0.0011489483399637532,0.4055997317101204,0.19878199262095667,0.3942334207358461
0.4096110815201375,0.19013209657736285,0.3928777105923696,0.0006345513014910853,0.0015001162711712867,0.0011376110874289928,0.41189856710049905,0.1917140581110968,0.395091448254722
0.41562017122748973,0.1864121510571242,0.3904652948305473,0.000661243449148845,0.0015786529984634385,0.0011390517429435802,0.41801312860764256,0.18803038635849545,0.3927710179179088
0.42211808007174545,0.18024108430398877,0.39003796241579525,0.0006712676334730739,0.0016601600958217365,0.0011257331069654142,0.4246058309236125,0.18186944937484956,0.39242613153877065
0.4269197462930928,0.17657900098959262,0.3887664527342669,0.0006969249520929185,0.0017477540075945411,0.0011309064886067702,0.42952011574668914,0.17824461953417195,0.3912570016988063
0.4322831813061717,0.17338443583750648,0.38646973547056557,0.0007242092809915121,0.0018317031754967828,0.0011337932341511658,0.4349943431749566,0.17508680186889627,0.3890572719094249
0.4359719218239552,0.1702565226010299,0.3857775735572956,0.0007490958734948296,0.0019199726990009412,0.001141892436769559,0.43879492527240593,0.17199643191957134,0.38846873092953466
0.4423721702106913,0.164730776268512,0.3847931915170523,0.0007601112657922858,0.0020121610361016284,0.0011281359774135383,0.4453010442883089,0.1664802456620834,0.3875760883568181
0.4471046887920192,0.1593917716820064,0.38528654984282745,0.0007681903614654936,0.0021090828249381247,0.0011193894205769905,0.4501403391833106,0.1611508157247885,0.3881681446423212
