BPD,AC,FL,BPD_AC,BPD_FL,AC_FL,BPD_T,AC_T,FL_T
0.4705339554915643,0.5218603307459333,0.0,0.0030502789557392477,-0.00024048486446501705,-0.00022417371637272642,0.4735732196348691,0.5249094808780899,0.0
0.44215789890803797,0.5501211722906364,0.0,0.0031695557741952397,-0.00022805729953988713,-0.00022576562683831515,0.4453114357611622,0.553277447261913,0.0
0.4161651470937149,0.5760221508399248,0.0,0.0032634083375875866,-0.00021676504571816924,-0.00022716990409946922,0.41940870554818654,0.5792619841784471,0.0
0.39165223732926313,0.6004686141223325,0.0,0.003330286051180791,-0.00020647268118297138,-0.00022869236739017453,0.3949598911651442,0.6037665359518094,0.0
0.3707141871834331,0.6213701478981638,0.0,0.0033658946156632685,-0.00019813944928061486,-0.00023027734548801735,0.37405583496335415,0.6246970254262088,0.0
0.35441560318147813,0.6375928416814892,0.0,0.0034408145350161346,-0.00018971772061301235,-0.0002295710083353964,0.3578300722343107,0.6409886355561659,0.0
0.33565826823388534,0.6563509029657077,0.0,0.0034374714445247743,-0.00018292466795345066,-0.00023148533029707192,0.3390690560690948,0.6597385951522018,0.0
0.31820163238559057,0.6738221869265558,0.0,0.003419611863535759,-0.0001767435099689915,-0.0002334162013739322,0.3215946716455671,0.6771880114877175,0.0
0.29893735018149764,0.6931059220501173,0.0,0.0033960348755691515,-0.00016944316025198952,-0.00023528882158035987,0.30230701800261905,0.6964437174209384,0.0
0.2877227255192197,0.7043143971313618,0.0,0.003399130430221868,-0.0001648310037607614,-0.0002354798738407231,0.2910955948018127,0.7076529609777256,0.0
0.272965409376332,0.7191270862558984,0.0,0.0033392433932835264,-0.0001602470662126624,-0.00023776958507538135,0.27627963217484064,0.7224035034628354,0.0
0.25729110540859534,0.7348547148151111,0.0,0.003280825542635267,-0.00015471061027689216,-0.0002397229849138415,0.26054808352520675,0.7380700719141348,0.0
0.2444525143310163,0.7477639697327501,0.0,0.0032052934693909086,-0.00015093350941225688,-0.00024199463982941353,0.24763559699598303,0.7509023405941646,0.0
0.23106187480402177,0.7612336064884253,0.0,0.003120930454378215,-0.000146804561076007,-0.0002443213261386317,0.23416237837900028,0.7642860956702946,0.0
0.21998746213688,0.7723879147318197,0.0,0.0030361086272312305,-0.00014377673272764974,-0.0002465366410852938,0.2230050159476217,0.7753547624161549,0.0
0.20906586241641756,0.7833883706522943,0.0,0.0029521752037041282,-0.00014056438229410393,-0.0002485255265711915,0.21200132847961548,0.7862704558831023,0.0
0.20188723849892345,0.7906147234252059,0.0,0.0029004750819548587,-0.00013873942735629638,-0.0002493245308589164,0.20477246052945303,0.7934452067753649,0.0
0.19218165394859574,0.8004026989318965,0.0,0.0028130922285867785,-0.00013607633568690178,-0.00025119016637110443,0.194981432583024,0.8031453976356208,0.0
0.18327919188545022,0.8093870746068638,0.0,0.0027263304891366174,-0.00013377294280761897,-0.0002529452776666866,0.18599416134163793,0.8120428577808789,0.0
0.17562868871517423,0.8171203855193977,0.0,0.0026390357666005843,-0.00013226929040135887,-0.0002547481967204863,0.17825838503438593,0.8196891679274945,0.0
0.16750402532699318,0.8253207804251421,0.0,0.002558527062047553,-0.00013003223498750762,-0.00025602333766430724,0.17005504991485923,0.8278090559789856,0.0
0.16187311760536915,0.831019752007434,0.0,0.002486613733720092,-0.0001293690408161603,-0.0002572302797368254,0.1643540616111916,0.8334369449041585,0.0
0.1579536895798817,0.8349734647618475,0.0,0.0024489917012144114,-0.0001290649271348196,-0.00025697598737701863,0.1603983716270496,0.8373543258551561,0.0
0.15336389467597586,0.8396231917428125,0.0,0.0023854916900899175,-0.00012895110898731655,-0.0002577459769320997,0.15574683315010338,0.8419418034732029,0.0
0.14747733107507405,0.8455875841006424,0.0,0.0023035839452922647,-0.0001281756953177609,-0.00025908820069822934,0.14978030937575382,0.8478250911447286,0.0
0.1463579742819533,0.8467204970346551,0.0,0.0022876100242640047,-0.00012959283490518724,-0.00025798275761807323,0.14864619584774538,0.8489444776073999,0.0
0.1440380785983003,0.8490707544610108,0.0,0.0022543273110218797,-0.00013045028553522155,-0.0002573812785271368,0.1462944334122933,0.8512635455595315,0.0
0.14323456723658767,0.8498879514311812,0.0,0.0022382198218272157,-0.00013209207891090138,-0.0002561315657139803,0.1454760696010159,0.8520672930065942,0.0
0.143633767383902,0.8494957403624921,0.0,0.00222918068805249,-0.0001346918848248174,-0.00025462083174489556,0.14586751396545947,0.8516693453090106,0.0
0.14528307903153806,0.8478340397673159,0.0,0.002239826392429665,-0.0001377414765297909,-0.0002522110514898047,0.14752853212773384,0.8500220517477405,0.0
0.14813417235907075,0.8449630667982726,0.0,0.0022582959465911523,-0.00014169968962447397,-0.00024945309048453096,0.1503991653778019,0.847173954564596,0.0
