BPD,FL,HC,BPD_FL,BPD_HC,FL_HC,BPD_T,FL_T,HC_T
0.11895707839484629,0.8002127353669921,0.07601932108295241,0.0001752595567660595,-4.9782729439840045e-5,0.00018340670946596183,0.11918062834954019,0.8005543594571637,0.07624194079462847
0.10429710264309434,0.8195230645703496,0.07131386565031475,0.00018394122517454177,-4.049463888854943e-5,0.00020581654678379033,0.10452438592400816,0.8198908452377905,0.07156687635566028
0.09440254846507924,0.8316368037055201,0.06905410358581214,0.00018706458726507627,-3.34166598658618e-5,0.00023263238414216228,0.09462998927742457,0.8320272054168376,0.06933409209406668
0.08375589426229922,0.8462297637580057,0.06506417526335266,0.00018948148911196948,-2.7853661484369103e-5,0.0002518085879620548,0.08398233076832642,0.8466411226204282,0.06537014565722814
0.07826355002385904,0.8522310854494387,0.06452993716924402,0.0001871084010798889,-2.3526161207366688e-5,0.00027807564203578307,0.07848627593874,0.8526591469260981,0.06485795604913969
0.07473698867161785,0.8558631157902886,0.06439344060124812,0.00018810608838572528,-1.94303729981872e-5,0.0003092624245742012,0.07496021103742362,0.8563150815735242,0.06474644823649602
0.07153064645375141,0.8580240279747319,0.06542235057805681,0.00018270097083918668,-1.594288725289418e-5,0.00033920509919536685,0.07174806279256385,0.8584906058139503,0.06579638446992908
0.06694402617197433,0.8625498553824258,0.06545808709753462,0.000177884547345041,-1.2366457643537263e-5,0.00037118323778294527,0.06715567838449468,0.8630355414161401,0.06585776425977007
0.06278683680264993,0.8669892194041392,0.0651535702570054,0.0001724420165085625,-9.617364225903184e-6,0.00039862424389697747,0.0629921113212907,0.8674911894089717,0.06557637678836886
0.06120759840887139,0.8671963551882759,0.06650354680684252,0.00016908913604150774,-6.584317303897571e-6,0.000434060868254483,0.06140984229858518,0.8677198891719036,0.06695153724064132
0.059721806173977314,0.8666814776155094,0.06849667016541233,0.0001609160759723632,-4.264259005889253e-6,0.0004632602261464813,0.05991605498752015,0.8672154492241917,0.06896296607976143
0.05819931484407664,0.8653955551705713,0.07129212259363592,0.00015304425032892533,-1.2293846154118882e-6,0.0005028925161845565,0.058386067970421805,0.865946845312223,0.07178314809321915
0.05555766518547024,0.8666116682543553,0.07269846834887375,0.00014567895348966705,1.3086355290122683e-6,0.0005396891103459188,0.05573681719009234,0.8671820222847664,0.07321606262090144
0.053100513913872376,0.868031486671186,0.0737188091043314,0.00013825150713890963,3.2791827125622586e-6,0.00057173175977805,0.053271923942154346,0.8686181834251054,0.0742602621676366
0.051647399890108255,0.8671045935528798,0.07608694748535638,0.000130284009597298,5.500170812352481e-6,0.0006073615881480721,0.05181103628762022,0.8677068437312272,0.07665138740358073
0.049260557203437576,0.8685202475856938,0.07704031141469073,0.0001227591766884535,7.146488740487341e-6,0.0006398887602220633,0.04941629185688358,0.8691397013992004,0.07762943706085808
0.04954240523156453,0.8640889736925231,0.08117721449438814,0.00011677827345522584,1.0168417262433844e-5,0.0006846556800305318,0.04969345142856762,0.8647293575635289,0.08179215194826701
0.04805940708637536,0.8631913183117716,0.08354445270633633,0.00010907415916858426,1.2091692451465669e-5,0.000721348928226378,0.04820284527046135,0.863848784873819,0.08418356368397473
0.04660637911925441,0.8618605473121852,0.0863111668768934,0.00010180820833013828,1.4256750271528016e-5,0.0007637667480224932,0.0467427483382198,0.8625394572773264,0.08697828073565109
0.045115965540870544,0.8609844214433391,0.08866313474904317,9.438620220708142e-5,1.5949685639513954e-5,0.0008011271954652969,0.0452449218568665,0.8616815552983658,0.08935521088183888
0.04451276703085847,0.8576599899588536,0.09258073358255671,8.741163172708694e-5,1.8230035690464835e-5,0.0008425891329029848,0.04463530556567241,0.8583751148646447,0.0932966100559969
0.042299146174667804,0.8591687134026195,0.09326377679186683,8.084488483999522e-5,1.9051267268142145e-5,0.0008764706521836313,0.04241455476555032,0.8599047736186426,0.09400691881990081
0.04159063540695644,0.857237009226636,0.0958822156499077,7.5955564957333e-5,2.106347025751221e-5,0.0009196312088535255,0.04170175998225453,0.857998553673009,0.09665511829108886
0.04092341694372852,0.8535877319379735,0.100183346820412,6.991690738335896e-5,2.341219708030668e-5,0.000967516076022777,0.04102906668919663,0.8543730281984955,0.10098479525078345
0.038996396368945085,0.8532552364636085,0.10242537359962303,6.324350362037872e-5,2.432237487805524e-5,0.0010064126383869671,0.039094780157506635,0.854061659309585,0.10325369233271013
0.03888175006181852,0.8495328702897686,0.10624751958408911,5.869385086691699e-5,2.6520819303072584e-5,0.0010486799142872879,0.03897645219383784,0.850361238703295,0.10710133837976461
0.037520597843259514,0.8483359757109376,0.10878211816491588,5.35883274456993e-5,2.7821420546737625e-5,0.0010932241519345245,0.03761013064328148,0.8491914893954804,0.10966735628146086
0.03624917353598844,0.8475907116707556,0.11077740766697124,4.891072564528908e-5,2.8748353182057866e-5,0.001131985428534004,0.036333868004555486,0.8484703428915451,0.11169071463880781
0.0350484451981078,0.8463894835010988,0.11315370616415708,4.47324512515547e-5,2.989587821317149e-5,0.001176698299005182,0.035128935920097984,0.8472980642179145,0.11409935344445733
0.034433049657547454,0.8433099347586765,0.11683133731800915,4.0828817203313275e-5,3.1493488581153086e-5,0.001219785966858487,0.03450994937886708,0.8442426028435699,0.11780385187824281
0.0338576820561701,0.8397415925982484,0.12095355272815449,3.74399625016227e-5,3.334983978812349e-5,0.0012688906482635738,0.03393164768566113,0.8407031043338054,0.12195712854617734
