BPD,AC,BPD_AC,BPD_T,AC_T
0.6204849461058499,0.3726963793754951,0.003101875751761096,0.6226657050536956,0.3749204348897941
0.6024835801027651,0.3906500162935991,0.0031652864896292406,0.6047130774384134,0.3929204408140461
0.5857841303172269,0.40732110773554475,0.0032042701233372275,0.5880426185428871,0.40961801620418603
0.5707279474883556,0.4223696164506151,0.0032177196040476873,0.5729943932162441,0.4246719232063957
0.5584430113608165,0.4346718295009011,0.0032012936948469903,0.5606921767851051,0.4369544325675961
0.5510786940849454,0.4420443811870459,0.0031884102460630124,0.5533182037405754,0.4443160250929195
0.5407830712189302,0.4523890117797782,0.003135155075246629,0.5429733582176447,0.4546089318938864
0.5311335217119149,0.46209998437656896,0.003067350555021972,0.5332620889384228,0.46425560169906377
0.5196755583911006,0.4736233587426475,0.0029943366433296385,0.5217383222883641,0.47571013446112576
0.5164179971712752,0.4769512147047075,0.002911626432363404,0.51840900969996,0.4789648724606512
0.5087140421956893,0.4847518037786824,0.0028028397023460846,0.5106080032822758,0.4866655840826576
0.4988276492094989,0.49473500785966745,0.002692713652611193,0.5006242867031513,0.49654811706056096
0.49194027410997143,0.501732632988946,0.00256684443312271,0.4936261777982245,0.5034319566362384
0.48457001613829065,0.5092184974128151,0.0024336650830014,0.486139781043654,0.5107983223836482
0.47804091116646447,0.515865619364527,0.0022966631554886085,0.47949217030824987,0.5173235487371544
0.4703951543979259,0.5236291511201439,0.0021581017237268423,0.4717280972739581,0.5249649633417536
0.468743019345606,0.5253932122623972,0.0020234713138075995,0.4699627439573059,0.5266134323041954
0.4613429493424198,0.53290869352892,0.0018838983796773334,0.46244670462252857,0.534008802656334
0.45386343737821366,0.5405000175983885,0.0017458986887823424,0.4548548189024075,0.5414833560361991
0.44726754260942586,0.5472024192991893,0.0016113573715058704,0.44815192538338017,0.5480742819104591
0.43873523259585934,0.5558312358559031,0.0014844115237564294,0.43952242724927054,0.5566008718279679
0.4310282419313967,0.5636238903414692,0.001366987628653293,0.4317292390682042,0.5643022186857516
0.426520940360944,0.568201737170594,0.001262816855072523,0.42715005284689317,0.5688040163775551
0.41821035862000333,0.5765713115672318,0.0011679815692408897,0.41877989835464674,0.5771083516544081
0.40454946705724104,0.590276544478073,0.001084809718105856,0.40507460512081916,0.5907617244414356
0.3987756319961326,0.5960720550728199,0.001024166814147462,0.39927776135137644,0.5965292176045625
0.3875773564176125,0.607274675987192,0.0009779677440716972,0.3880743051730016,0.6077198672558458
0.3750901377692812,0.6197463646305089,0.0009505356784548034,0.3756016796693024,0.6201990314401771
0.36268380675587175,0.6321159934183777,0.0009428093369096216,0.3632311640081247,0.6325971827980403
0.3483114623169314,0.6464325309711818,0.0009535572463084286,0.3489134961888152,0.6469607864846021
0.33419562184710894,0.6604720931106889,0.0009844041765478338,0.3348728299255205,0.6610679265974445
