AC,HC,AC_HC,AC_T,HC_T
0.07722742352082729,0.9178126676336632,0.0007875510064485757,0.07769293545642435,0.9180032705987206
0.08261384865597535,0.9123579503812891,0.0008649891127959572,0.08313553737155116,0.9126206888405523
0.08779309987027742,0.9071088373599367,0.000944012830775407,0.08837350354166158,0.9074450537550603
0.09338981362196494,0.9014411294208627,0.001027259835843763,0.09403190944705665,0.9018522733091119
0.09820080163660017,0.8965617518851247,0.0011056006365813985,0.09890275813450808,0.897044562590066
0.1028096826239989,0.8918779126640285,0.0011893475376209607,0.1035776634427783,0.8924387143274897
0.10728528084296327,0.8873306093524779,0.001270650586583978,0.10811758626874554,0.8879660683183734
0.11095058361192794,0.8835914332976339,0.001350931885884088,0.11184907231026198,0.8843030530031313
0.11628303011357305,0.8781742376934335,0.0014488440682946585,0.11725968557892602,0.8789741212180553
0.11962636814467782,0.87475331715015,0.0015324517388330683,0.12067387312776014,0.8756328093753459
0.12416814558440498,0.8701332700083225,0.0016223106796052994,0.1252889497567653,0.871093973603744
0.1283530881442888,0.8658568011224879,0.0017232300168548273,0.12955934757180748,0.8669116222330338
0.1312738439216368,0.86285273663764,0.0018119906591025606,0.1325578107957117,0.8639925836267901
0.13529049404382604,0.8587461536828064,0.0019117621145650684,0.1366596752083176,0.8599784313221143
0.13864070592230085,0.8553094212328399,0.002006077234239948,0.14009198557305677,0.8566302596329034
0.1424077539163101,0.8514483756181392,0.0021093940894187395,0.1439488286066951,0.8528655265003915
0.1448563587418574,0.8489085210869269,0.002205399336933898,0.14648421574601528,0.8504183399327944
0.14839170665308934,0.8452749846476771,0.0023124551968761314,0.15011401624166681,0.8468851551484102
0.15114314053455807,0.8424222580332743,0.002419851379578346,0.15296273396526525,0.8441353576907454
0.15396272324614932,0.8395061505712614,0.002523191035969804,0.1558755163957254,0.8413174823957739
0.1576730807225702,0.8356850533442405,0.0026437200046551665,0.15969346064659,0.8376094071702769
0.16030395384408144,0.8329535239101753,0.002750799772868053,0.1624219997024703,0.83498013172064
0.1626670244525691,0.8304802443862077,0.0028664299482381917,0.1648920339422097,0.8326184929931324
0.1644782628728233,0.8285629103140145,0.002976334581697771,0.16680628516366958,0.8308083577161404
0.16733476009258508,0.8255929953997241,0.003097233313425653,0.16977367438431362,0.8279536360316623
0.16965211011113873,0.8231666744023154,0.0032120634816924184,0.1721975816624331,0.8256377354756431
0.17170486951530373,0.8209946459469407,0.00333626099197384,0.17436697192199016,0.823586279648915
0.1743266968158717,0.8182527717582724,0.003463307934665059,0.17710669642015997,0.8209661165671747
0.17580296439445592,0.8166595196144848,0.0035836262995184933,0.17869754343236136,0.8194908336807679
0.1782862760346746,0.8140517163341313,0.0037148505357425194,0.18130341821945972,0.8170091292821317
0.17965200254366923,0.8125646055853261,0.003839426960935301,0.18278834914012743,0.8156443587070105
